Tag,Category,Label
afro,attribute,0
aggression,attribute,1
al_dente,attribute,2
angora,attribute,3
art_paper,attribute,4
asphalt,attribute,5
azure,attribute,6
bangs,attribute,7
barechestedness,attribute,8
beauty,attribute,9
beige,attribute,10
black,attribute,11
black_and_white,attribute,12
black_hair,attribute,13
blond,attribute,14
blue,attribute,15
bmw,attribute,16
boiling,attribute,17
brass,attribute,18
bricks_and_mortar,attribute,19
brown,attribute,20
brown_hair,attribute,21
caffeine,attribute,22
calm,attribute,23
camouflage,attribute,24
caramel_color,attribute,25
cardboard,attribute,26
ceramic,attribute,27
citric_acid,attribute,28
classic,attribute,29
clay,attribute,30
cleft,attribute,31
cobalt_blue,attribute,32
coca_cola,attribute,33
complexion,attribute,34
concrete,attribute,35
cool,attribute,36
dairy,attribute,37
darkness,attribute,38
daytime,attribute,39
deciduous,attribute,40
denim,attribute,41
drama,attribute,42
elder,attribute,43
electric_blue,attribute,44
emerald,attribute,45
evergreen,attribute,46
explosive_material,attribute,47
floating,attribute,48
fluid,attribute,49
flyweight,attribute,50
forward,attribute,51
freezing,attribute,52
fun,attribute,53
glitter,attribute,54
gold,attribute,55
granite,attribute,56
green,attribute,57
happy,attribute,58
human_hair_color,attribute,59
hunky,attribute,60
inflatable,attribute,61
iron,attribute,62
laminate,attribute,63
layered_hair,attribute,64
leather,attribute,65
leisure,attribute,66
lilac,attribute,67
long_hair,attribute,68
magenta,attribute,69
maroon,attribute,70
metal,attribute,71
metropolis,attribute,72
military,attribute,73
moist,attribute,74
monochrome,attribute,75
multimedia,attribute,76
neon,attribute,77
orange,attribute,78
origami_paper,attribute,79
paper,attribute,80
patchwork,attribute,81
peach,attribute,82
pigtail,attribute,83
pink,attribute,84
plane,attribute,85
plastic,attribute,86
platinum_blond,attribute,87
plush,attribute,88
plywood,attribute,89
polka_dot,attribute,90
pompadour,attribute,91
purple,attribute,92
rapid,attribute,93
red,attribute,94
red_hair,attribute,95
reflection,attribute,96
satin,attribute,97
shade,attribute,98
silk,attribute,99
silver,attribute,100
sweetness,attribute,101
symmetry,attribute,102
synthetic_rubber,attribute,103
teal,attribute,104
transparency_and_translucency,attribute,105
turquoise,attribute,106
velvet,attribute,107
violet,attribute,108
white,attribute,109
wood,attribute,110
wool,attribute,111
woolen,attribute,112
woven_fabric,attribute,113
wrinkle,attribute,114
yellow,attribute,115
youth,attribute,116
