Tag,Category,Label
aerial_photography,concept,0
agriculture,concept,1
air_force,concept,2
air_sports,concept,3
american_food,concept,4
ancient_history,concept,5
angle,concept,6
animal_migration,concept,7
animal_source_foods,concept,8
animal_sports,concept,9
arch,concept,10
architecture,concept,11
army,concept,12
art,concept,13
artistic_gymnastics,concept,14
asian_food,concept,15
athletics,concept,16
audience,concept,17
automotive_design,concept,18
automotive_exterior,concept,19
aviation,concept,20
baked_goods,concept,21
ball_over_a_net_games,concept,22
bat_and_ball_games,concept,23
blessing,concept,24
boardsport,concept,25
brand,concept,26
business,concept,27
cable_management,concept,28
cellular_network,concept,29
choir,concept,30
circle,concept,31
circus,concept,32
class,concept,33
classic_car,concept,34
classical_music,concept,35
clergy,concept,36
clip_art,concept,37
close_up,concept,38
collaboration,concept,39
color_guard,concept,40
combat_sport,concept,41
comfort,concept,42
comfort_food,concept,43
commodity,concept,44
community,concept,45
computer_program,concept,46
concert_band,concept,47
confectionery,concept,48
construction,concept,49
contact_sport,concept,50
convenience_food,concept,51
costume_design,concept,52
court,concept,53
court_game,concept,54
crew,concept,55
crowd,concept,56
cube,concept,57
cuisine,concept,58
currency,concept,59
cycle_sport,concept,60
cylinder,concept,61
decor,concept,62
design,concept,63
dialog_box,concept,64
diet_food,concept,65
display_advertising,concept,66
dog_breed,concept,67
dog_sports,concept,68
doubles,concept,69
dressage,concept,70
east_asian_food,concept,71
ecosystem,concept,72
electrical_network,concept,73
electricity,concept,74
electronics,concept,75
emergency,concept,76
emergency_service,concept,77
emotion,concept,78
endurance_sports,concept,79
energy,concept,80
engineering,concept,81
ensemble,concept,82
entertainment,concept,83
equestrian_sport,concept,84
erg,concept,85
european_food,concept,86
extreme_sport,concept,87
facial_expression,concept,88
family,concept,89
fashion_design,concept,90
fast_food,concept,91
fauna,concept,92
fictional_character,concept,93
field_game,concept,94
film,concept,95
finger_food,concept,96
fixed_link,concept,97
floral_design,concept,98
floristry,concept,99
font,concept,100
fried_food,concept,101
friendship,concept,102
frozen_food,concept,103
games,concept,104
geological_phenomenon,concept,105
geology,concept,106
german_food,concept,107
golf_club,concept,108
graffito,concept,109
graphic_design,concept,110
graphics,concept,111
grilled_food,concept,112
hairstyle,concept,113
handwriting,concept,114
health_care,concept,115
heart,concept,116
heat,concept,117
herd,concept,118
history,concept,119
human_behavior,concept,120
individual_sports,concept,121
indoor_games_and_sports,concept,122
industry,concept,123
infrastructure,concept,124
interaction,concept,125
interior_design,concept,126
inventory,concept,127
italian_food,concept,128
japanese_cuisine,concept,129
japanese_martial_arts,concept,130
job,concept,131
junk_food,concept,132
kite_sports,concept,133
land_vehicle,concept,134
laser,concept,135
laughter,concept,136
law_enforcement,concept,137
light_commercial_vehicle,concept,138
lighting,concept,139
line,concept,140
line_art,concept,141
local_food,concept,142
lockstitch,concept,143
logo,concept,144
love,concept,145
luxury_vehicle,concept,146
luxury_yacht,concept,147
major_appliance,concept,148
male,concept,149
management,concept,150
map,concept,151
marching_band,concept,152
marine_mammal,concept,153
martial_arts,concept,154
mass_production,concept,155
match_play,concept,156
meal,concept,157
medal_play,concept,158
medical,concept,159
medicine,concept,160
memorial,concept,161
mesh,concept,162
meteorological_phenomenon,concept,163
mid_size_car,concept,164
military_officer,concept,165
military_organization,concept,166
military_rank,concept,167
mineral,concept,168
mixture,concept,169
mode_of_transport,concept,170
modern_art,concept,171
money,concept,172
monochrome_photography,concept,173
motorsport,concept,174
music,concept,175
musical_ensemble,concept,176
natural_foods,concept,177
nature,concept,178
news,concept,179
non_sporting_group,concept,180
number,concept,181
off_road,concept,182
official,concept,183
orchestra,concept,184
organism,concept,185
pachyderm,concept,186
packaging_and_labeling,concept,187
painting,concept,188
party_supply,concept,189
pattern,concept,190
people,concept,191
performance,concept,192
performing_arts,concept,193
physical_fitness,concept,194
pint_us,concept,195
plaid,concept,196
plant_community,concept,197
plaster,concept,198
police,concept,199
pollinator,concept,200
pollution,concept,201
pop_music,concept,202
primate,concept,203
public_transport,concept,204
public_utility,concept,205
pyramid,concept,206
racquet_sport,concept,207
rapid_transit,concept,208
real_estate,concept,209
recipe,concept,210
rectangle,concept,211
religion,concept,212
research,concept,213
rock,concept,214
roller_sport,concept,215
romance,concept,216
rose_order,concept,217
seafood,concept,218
security,concept,219
selfie,concept,220
service,concept,221
shadow,concept,222
shelving,concept,223
shoal,concept,224
shooting_sport,concept,225
side_dish,concept,226
silhouette,concept,227
singles,concept,228
skin_care,concept,229
social_group,concept,230
software,concept,231
song,concept,232
spanish_cuisine,concept,233
sphere,concept,234
spiral,concept,235
spoor,concept,236
sport,concept,237
spotlight,concept,238
spring_break,concept,239
square,concept,240
star,concept,241
stick_and_ball_games,concept,242
stick_and_ball_sports,concept,243
still_life,concept,244
still_life_photography,concept,245
stock_photography,concept,246
street_art,concept,247
street_food,concept,248
striking_combat_sports,concept,249
stucco,concept,250
superfood,concept,251
surface_water_sports,concept,252
symbol,concept,253
tartan,concept,254
taste,concept,255
team,concept,256
team_sport,concept,257
technology,concept,258
telephony,concept,259
television_program,concept,260
tool,concept,261
tourism,concept,262
towed_water_sport,concept,263
tradition,concept,264
traditional_sport,concept,265
traffic,concept,266
tread,concept,267
triangle,concept,268
tribe,concept,269
troop,concept,270
underwater,concept,271
vegetarian_food,concept,272
vegetation,concept,273
video_game_software,concept,274
visual_arts,concept,275
war,concept,276
waste_containment,concept,277
water_ball_sports,concept,278
water_sport,concept,279
water_transportation,concept,280
watercraft,concept,281
weapon,concept,282
weapon_combat_sports,concept,283
website,concept,284
whole_food,concept,285
wildlife,concept,286
wind,concept,287
windsports,concept,288
winter_sport,concept,289
