Tag,Category,Label
800_metres,event,0
adventure,event,1
air_travel,event,2
art_exhibition,event,3
auto_show,event,4
autumn,event,5
award_ceremony,event,6
banquet,event,7
bedtime,event,8
breakfast,event,9
broad_jump,event,10
brunch,event,11
carnival,event,12
ceremony,event,13
championship,event,14
christmas,event,15
competition,event,16
concert,event,17
conference,event,18
convention,event,19
conversation,event,20
decathlon,event,21
demonstration,event,22
dinner,event,23
disaster,event,24
evening,event,25
exhibition,event,26
festival,event,27
flight,event,28
freight_transport,event,29
general_aviation,event,30
graduation,event,31
halloween,event,32
heptathlon,event,33
holiday,event,34
lecture,event,35
lunch,event,36
manicure,event,37
marathon,event,38
massage,event,39
meeting,event,40
morning,event,41
multi_sport_event,event,42
news_conference,event,43
night,event,44
parade,event,45
party,event,46
photo_shoot,event,47
picnic,event,48
presentation,event,49
protest,event,50
public_event,event,51
race,event,52
ritual,event,53
road_trip,event,54
rock_concert,event,55
safari,event,56
seminar,event,57
ski_cross,event,58
speech,event,59
spring,event,60
summer,event,61
sunrise_and_sunset,event,62
supper,event,63
tournament,event,64
vacation,event,65
wedding,event,66
wedding_reception,event,67
winter,event,68
