Tag,Category,Label
abdomen,object,0
academic_dress,object,1
accordion,object,2
accordionist,object,3
acoustic_electric_guitar,object,4
acoustic_guitar,object,5
acrylic_paint,object,6
action_figure,object,7
active_undergarment,object,8
adding_machine,object,9
aegean_cat,object,10
aerialist,object,11
african_elephant,object,12
agaric,object,13
agaricaceae,object,14
agaricomycetes,object,15
agaricus,object,16
agricultural_machinery,object,17
agriculturist,object,18
aioli,object,19
air_bubble,object,20
air_gun,object,21
aircraft,object,22
airliner,object,23
alaskan_malamute,object,24
album_cover,object,25
alcoholic_beverage,object,26
ale,object,27
algae,object,28
all_terrain_vehicle,object,29
alligator,object,30
alloy_wheel,object,31
alpinist,object,32
alto_horn,object,33
american_alligator,object,34
american_pit_bull_terrier,object,35
amusement_ride,object,36
ananas,object,37
anchor,object,38
angle_grinder,object,39
animal_fat,object,40
ankle,object,41
annual_plant,object,42
antique,object,43
antique_car,object,44
appetizer,object,45
apple,object,46
aqua,object,47
aquanaut,object,48
aquarium,object,49
aquatic_plant,object,50
aquifoliaceae,object,51
arabian_camel,object,52
arcade_game,object,53
arecales,object,54
arm,object,55
artifact,object,56
artificial_fly,object,57
artificial_turf,object,58
artisan,object,59
artwork,object,60
athlete,object,61
athletic_shoe,object,62
audio_engineer,object,63
audio_equipment,object,64
auto_part,object,65
automaton,object,66
automotive_engine_part,object,67
automotive_exhaust,object,68
automotive_lighting,object,69
automotive_mirror,object,70
automotive_tire,object,71
automotive_wheel_system,object,72
automotive_window_part,object,73
ax,object,74
ax_handle,object,75
baby_buggy,object,76
baby_carrier,object,77
baby_products,object,78
baby_toys,object,79
back,object,80
backboard,object,81
backhoe,object,82
backseat,object,83
bag,object,84
bagel,object,85
baggage,object,86
bagpipes,object,87
bait,object,88
baker,object,89
balance_beam,object,90
balcony,object,91
ball,object,92
ballet_dancer,object,93
ballet_skirt,object,94
balloon,object,95
baluster,object,96
bandage,object,97
banderillero,object,98
bandoneon,object,99
banjo,object,100
banner,object,101
barbell,object,102
barber,object,103
baritone_saxophone,object,104
barramundi,object,105
barrel,object,106
barrow,object,107
bartender,object,108
barware,object,109
baseball_bat,object,110
baseball_cap,object,111
baseball_equipment,object,112
baseball_player,object,113
basket,object,114
basketball_player,object,115
bass,object,116
bass_drum,object,117
bass_fiddle,object,118
bass_guitar,object,119
bassinet,object,120
bassist,object,121
bathing_cap,object,122
bathroom_accessory,object,123
bathroom_sink,object,124
bathtub,object,125
batter,object,126
bayonne_ham,object,127
bead,object,128
beak,object,129
beam,object,130
bean,object,131
beanie,object,132
beard,object,133
bed,object,134
bed_frame,object,135
bed_sheet,object,136
bedding,object,137
bedrock,object,138
bee,object,139
beef,object,140
beef_tenderloin,object,141
beehive,object,142
beekeeper,object,143
beer,object,144
beer_cocktail,object,145
beer_glass,object,146
belay_device,object,147
bell_peppers_and_chili_peppers,object,148
bench,object,149
berry,object,150
beyaz_peynir,object,151
bib,object,152
bichon,object,153
bicycle,object,154
bicycle_accessory,object,155
bicycle_chain,object,156
bicycle_drivetrain_part,object,157
bicycle_frame,object,158
bicycle_handlebar,object,159
bicycle_helmet,object,160
bicycle_part,object,161
bicycle_saddle,object,162
bicycle_tire,object,163
bicycle_wheel,object,164
bidet,object,165
big_cats,object,166
bikini,object,167
billboard,object,168
bin,object,169
birch,object,170
bird,object,171
birthday_cake,object,172
biscuit,object,173
black_belt,object,174
black_cat,object,175
blackboard,object,176
blacksmith,object,177
blade,object,178
blazer,object,179
blender,object,180
block,object,181
blood,object,182
blossom,object,183
blouse,object,184
blue_collar_worker,object,185
bmx_bike,object,186
boa_constrictor,object,187
board_game,object,188
boas,object,189
boat,object,190
boats_and_boating_equipment_and_supplies,object,191
bobsled,object,192
bocce_ball,object,193
bodybuilder,object,194
bolete,object,195
bonfire,object,196
bongo,object,197
bony_fish,object,198
book,object,199
bookcase,object,200
boot,object,201
bottle,object,202
bottled_water,object,203
boulder,object,204
bouquet,object,205
bow_and_arrow,object,206
bow_tie,object,207
bowed_string_instrument,object,208
bowie_knife,object,209
bowl,object,210
bowler,object,211
bowling_ball,object,212
bowling_equipment,object,213
bowling_pin,object,214
box,object,215
boxing_equipment,object,216
boxing_glove,object,217
boy,object,218
bracelet,object,219
brake_disk,object,220
branch,object,221
brass_instrument,object,222
brassiere,object,223
bratwurst,object,224
bread,object,225
bread_dough,object,226
brick,object,227
bricklayer,object,228
brickwork,object,229
bridal_clothing,object,230
bride,object,231
bridle,object,232
briefs,object,233
broccoli,object,234
brochette,object,235
bromeliaceae,object,236
broom,object,237
broth,object,238
brush,object,239
bubble,object,240
bubble_gum,object,241
bucket,object,242
bugle,object,243
bull,object,244
bulldozer,object,245
bullfighter,object,246
bumper,object,247
bumper_car,object,248
bun,object,249
bungee,object,250
bus,object,251
businessperson,object,252
butcher,object,253
buttercream,object,254
button,object,255
button_accordion,object,256
cab,object,257
cabin_cruiser,object,258
cabinet,object,259
cabinetry,object,260
cable,object,261
caesar_salad,object,262
cage,object,263
cake,object,264
calf,object,265
camel,object,266
camera,object,267
camera_accessory,object,268
camera_lens,object,269
camera_operator,object,270
camgirl,object,271
campfire,object,272
candle,object,273
cannon,object,274
canoe,object,275
cap,object,276
car,object,277
car_mirror,object,278
car_seat,object,279
car_seat_cover,object,280
car_tire,object,281
car_wheel,object,282
carbonara,object,283
carbonated_soft_drinks,object,284
cardboard_box,object,285
caricaturist,object,286
carnivoran,object,287
carpenter,object,288
carpet,object,289
carriage,object,290
carrot,object,291
cart,object,292
carton,object,293
cartoon,object,294
carving,object,295
cash,object,296
cash_machine,object,297
cat,object,298
catamaran,object,299
cattle_like_mammal,object,300
