Tag,Category,Label
aeolian_landform,scene,0
aisle,scene,1
alley,scene,2
amusement_park,scene,3
animal_shelter,scene,4
apartment,scene,5
apiary,scene,6
archaeological_site,scene,7
arena,scene,8
arroyo,scene,9
attic,scene,10
auditorium,scene,11
automobile_repair_shop,scene,12
backyard,scene,13
badlands,scene,14
bakery,scene,15
ballpark,scene,16
ballroom,scene,17
bank,scene,18
bar,scene,19
barbershop,scene,20
barn,scene,21
baseball_field,scene,22
baseball_positions,scene,23
basement,scene,24
basketball_court,scene,25
bathroom,scene,26
batting_cage,scene,27
bay,scene,28
bayou,scene,29
bazaar,scene,30
beach,scene,31
beauty_salon,scene,32
bedroom,scene,33
boardwalk,scene,34
body_of_water,scene,35
boutique,scene,36
bowling_alley,scene,37
boxing_ring,scene,38
bridge,scene,39
building,scene,40
bullring,scene,41
butcher_shop,scene,42
canyon,scene,43
cape,scene,44
carport,scene,45
casino,scene,46
cave,scene,47
channel,scene,48
chapel,scene,49
cityscape,scene,50
cliff,scene,51
clinic,scene,52
coast,scene,53
coastal_and_oceanic_landforms,scene,54
cockpit,scene,55
cocktail_lounge,scene,56
concert_hall,scene,57
condominium,scene,58
conference_hall,scene,59
coral_reef,scene,60
courtyard,scene,61
creek,scene,62
day_nursery,scene,63
deck,scene,64
desert,scene,65
dining_room,scene,66
dock,scene,67
downtown,scene,68
dune,scene,69
ecoregion,scene,70
escarpment,scene,71
estate,scene,72
factory,scene,73
fair,scene,74
farm,scene,75
fault,scene,76
field,scene,77
field_lacrosse,scene,78
fire_department,scene,79
fish_pond,scene,80
floor,scene,81
fluvial_landforms_of_streams,scene,82
football_stadium,scene,83
forest,scene,84
formation,scene,85
foundry,scene,86
function_hall,scene,87
garage,scene,88
garden,scene,89
garden_buildings,scene,90
glacial_lake,scene,91
golf_course,scene,92
grassland,scene,93
grocery_store,scene,94
grove,scene,95
gym,scene,96
hall,scene,97
harbor,scene,98
haze,scene,99
headland,scene,100
highland,scene,101
hill,scene,102
historic_site,scene,103
home,scene,104
horizon,scene,105
hospital,scene,106
hot_spring,scene,107
hotel,scene,108
hotel_room,scene,109
house,scene,110
hut,scene,111
ice_hockey_position,scene,112
ice_hockey_rink,scene,113
ice_rink,scene,114
inlet,scene,115
intersection,scene,116
kindergarten,scene,117
kitchen,scene,118
laboratory,scene,119
lake,scene,120
land_lot,scene,121
landmark,scene,122
landscape,scene,123
lane,scene,124
lecture_room,scene,125
leisure_centre,scene,126
littoral,scene,127
living_room,scene,128
log_cabin,scene,129
marina,scene,130
market,scene,131
marsh,scene,132
massif,scene,133
meadow,scene,134
meander,scene,135
metropolitan_area,scene,136
mountain,scene,137
mountain_pass,scene,138
mountain_range,scene,139
mountainous_landforms,scene,140
music_venue,scene,141
musical_theatre,scene,142
national_park,scene,143
natural_resources,scene,144
nature_reserve,scene,145
neighbourhood,scene,146
nightclub,scene,147
office,scene,148
opera,scene,149
outcrop,scene,150
paddy_field,scene,151
palace,scene,152
panorama,scene,153
park,scene,154
parking,scene,155
pasture,scene,156
path,scene,157
patio,scene,158
pavilion,scene,159
pedestrian_crossing,scene,160
performing_arts_center,scene,161
piste,scene,162
place_of_worship,scene,163
plain,scene,164
plateau,scene,165
playground,scene,166
plaza,scene,167
pond,scene,168
port,scene,169
property,scene,170
public_space,scene,171
race_track,scene,172
ranch,scene,173
reef,scene,174
religious_institute,scene,175
reservoir,scene,176
residential_area,scene,177
resort,scene,178
restaurant,scene,179
restroom,scene,180
retail,scene,181
ridge,scene,182
riparian_zone,scene,183
river,scene,184
riverbed,scene,185
road,scene,186
road_highway,scene,187
room,scene,188
rural_area,scene,189
sandbank,scene,190
sandbar,scene,191
school,scene,192
sea,scene,193
seashore,scene,194
seaside,scene,195
shack,scene,196
shooting_range,scene,197
shopping_mall,scene,198
shore,scene,199
sidewalk,scene,200
ski_slope,scene,201
sky,scene,202
skyline,scene,203
skyscraper,scene,204
snow_covered_landscape,scene,205
sport_venue,scene,206
stable,scene,207
stadium,scene,208
stage,scene,209
strand,scene,210
stream,scene,211
stream_bed,scene,212
street,scene,213
suburb,scene,214
summit,scene,215
supermarket,scene,216
swamp,scene,217
swimming_pool,scene,218
tavern,scene,219
television_room,scene,220
tennis_camp,scene,221
tennis_court,scene,222
terrain,scene,223
theatre,scene,224
toolroom,scene,225
tourist_attraction,scene,226
tower_block,scene,227
town,scene,228
town_square,scene,229
track,scene,230
tropical_beach,scene,231
tropics,scene,232
tunnel,scene,233
urban_area,scene,234
urban_design,scene,235
valley,scene,236
village,scene,237
walkway,scene,238
warehouse,scene,239
watercourse,scene,240
waterfall,scene,241
waterway,scene,242
wetland,scene,243
wildlife_region,scene,244
workshop,scene,245
yard,scene,246
zoo,scene,247
