original_filename,Label,tag
--5kVeU1uco_000046_000056.mp4,35,concrete
--5urtlw6gs_000049_000059.mp4,53|8,fun|barechestedness
--65_UAU7ao_000000_000010.mp4,53|9,fun|beauty
--6XapylEsA_000046_000056.mp4,66,leisure
--6zxbYq5M4_000039_000049.mp4,110,wood
--9JDn2oaEw_10.0_12.0.mp4,66,leisure
--9N3YdTOIM_39.0_41.0.mp4,53|66,fun|leisure
--9zAxIOlbo_000008_000018.mp4,38,darkness
--CNAjJZhNY_000009_000019.mp4,59,human_hair_color
--DDIxyAwIk_6.0_8.0.mp4,66,leisure
--E8kQc4oeE_000281_000291.mp4,68|9|7|13|21|59,long_hair|beauty|bangs|black_hair|brown_hair|human_hair_color
--EZD1uEVhM_000062_000072.mp4,59|13,human_hair_color|black_hair
--GEr5-PyTI_000000_000010.mp4,53,fun
--GaSxELz-8_000039_000049.mp4,84|66,pink|leisure
--H6ZFJXDq4_6.5_8.5.mp4,53|38,fun|darkness
--JBrgsW5UI_26.5_28.5.mp4,66,leisure
--NL-GP04Ls_179.5_181.5.mp4,39|116|53|66,daytime|youth|fun|leisure
--Nixnc9DQg_000017_000027.mp4,39|53,daytime|fun
--QG-bjOFSA_000000_000010.mp4,53|66,fun|leisure
--RN6XH2x8k_141.0_143.0.mp4,17,boiling
--SSk3r84yw_000000_000010.mp4,110,wood
--U3pqp_C5g_000120_000130.mp4,53|11,fun|black
--VtCsmlD18_000047_000057.mp4,39|53|66,daytime|fun|leisure
--Z5dqN2hKY_81.5_83.5.mp4,53|66,fun|leisure
--_-T3-Qvg4_45.5_47.5.mp4,38,darkness
--_-T3-Qvg4_60.0_62.0.mp4,38,darkness
--_3Wbv-1YY_000319_000329.mp4,53|66,fun|leisure
--_fOePZDoY_000033_000043.mp4,12,black_and_white
--ayR6l14VQ_42.5_44.5.mp4,66,leisure
--bQb-k_Tjs_000009_000019.mp4,53|110|39,fun|wood|daytime
--cOOZbreL4_000111_000121.mp4,53,fun
--g9CJ6MWTE_000000_000010.mp4,53|39,fun|daytime
--gdlZhyZcg_000001_000011.mp4,53|52,fun|freezing
--gwXkVlrUY_139.0_141.0.mp4,53|66,fun|leisure
--i8Hiv5H4o_39.0_41.0.mp4,5|66,asphalt|leisure
--i8Hiv5H4o_44.0_46.0.mp4,5,asphalt
--i8Hiv5H4o_84.5_86.5.mp4,53,fun
--jDtmT7ijg_20.5_22.5.mp4,66,leisure
--jDtmT7ijg_9.0_11.0.mp4,66,leisure
--mLOzFpQoo_000004_000014.mp4,53|38|110,fun|darkness|wood
--nosQjor8k_7.0_9.0.mp4,75|12,monochrome|black_and_white
--otNzh-C1Q_000020_000030.mp4,94|76,red|multimedia
--qyQNsbPnA_000154_000164.mp4,53|12|75|109|38|11,fun|black_and_white|monochrome|white|darkness|black
--rSKL-i6qQ_000015_000025.mp4,92|38|108,purple|darkness|violet
--vWkSa7Po8_000067_000077.mp4,44,electric_blue
--veKG73Di4_64.0_66.0.mp4,53,fun
--xtMMzsKgM_000016_000026.mp4,110,wood
-05faw86Ljo_16.0_18.0.mp4,115,yellow
-06eY3PEL9k_000003_000013.mp4,53,fun
-08hnyF57BE_000011_000021.mp4,110,wood
-0BpVQEChv8_5.5_7.5.mp4,52,freezing
-0BpVQEChv8_8.5_10.5.mp4,52,freezing
-0Db_ktMTtg_13.0_15.0.mp4,53|66,fun|leisure
-0Db_ktMTtg_23.0_25.0.mp4,53|66,fun|leisure
-0EvnroWpVc_000002_000012.mp4,57,green
-0FwN4ESkWY_000121_000131.mp4,66|94,leisure|red
-0Fwkoyy2GI_000105_000115.mp4,53|86|69|66,fun|plastic|magenta|leisure
-0HOXzejQVw_000018_000028.mp4,53,fun
-0IoUizxRgg_000065_000075.mp4,53|36|59,fun|cool|human_hair_color
-0Llfq_N3P8_000041_000051.mp4,53|38,fun|darkness
-0O1t6CF8aM_1.5_3.5.mp4,66,leisure
-0O1t6CF8aM_11.0_13.0.mp4,66,leisure
-0O7bTV_v7Q_17.0_19.0.mp4,110,wood
-0O7bTV_v7Q_21.5_23.5.mp4,53|110,fun|wood
-0g3eQYArEg_000000_000010.mp4,14,blond
-0hijc1QF9M_33.5_35.5.mp4,66|110,leisure|wood
-0oOhwW5i8I_000000_000010.mp4,38,darkness
-0p4vG6a5gY_000086_000096.mp4,36|109,cool|white
-0sXtbpbKSk_000010_000020.mp4,53|59,fun|human_hair_color
-0tkkA6mm4Y_29.0_31.0.mp4,53|66,fun|leisure
-0tkkA6mm4Y_49.5_51.5.mp4,66,leisure
-0tkkA6mm4Y_67.5_69.5.mp4,39|53|66,daytime|fun|leisure
-0tkkA6mm4Y_9.5_11.5.mp4,66,leisure
-0uI3UBQShA_114.5_116.5.mp4,5|66,asphalt|leisure
-0uI3UBQShA_25.0_27.0.mp4,66,leisure
-0uI3UBQShA_61.5_63.5.mp4,66,leisure
-0uI3UBQShA_79.5_81.5.mp4,53|66,fun|leisure
-10MQYniGkQ_000079_000089.mp4,68|9|59,long_hair|beauty|human_hair_color
-11K3gyBtmI_19.0_21.0.mp4,53|66|110,fun|leisure|wood
-1562OKwQw4_158.0_160.0.mp4,66,leisure
-165n2L_oCY_000032_000042.mp4,53,fun
-18XGVQ29Es_000116_000126.mp4,89|110,plywood|wood
-18XGVQ29Es_000275_000285.mp4,89|110,plywood|wood
-18h7nSDMT4_000030_000040.mp4,110,wood
-1BEs70QXaA_000371_000381.mp4,68|13,long_hair|black_hair
-1M17FELM20_90.0_92.0.mp4,53|66,fun|leisure
-1NAV5z1tIs_39.0_41.0.mp4,53|52,fun|freezing
-1Pe4dntZoE_000452_000462.mp4,53|66,fun|leisure
-1QGTcCDaqU_000088_000098.mp4,110,wood
-1QfTPQem1k_13.0_15.0.mp4,53|66,fun|leisure
-1RBCM3cpQk_74.0_76.0.mp4,66,leisure
-1Vnu1KWOfE_000001_000011.mp4,38,darkness
-1Y83SnTyZ0_000003_000013.mp4,53,fun
-1acQ9odYFg_000033_000043.mp4,38|8,darkness|barechestedness
-1cWuS_-w24_000121_000131.mp4,86,plastic
-1ex5GF36IU_69.5_71.5.mp4,86,plastic
-1ex5GF36IU_70.5_72.5.mp4,86|66,plastic|leisure
-1ex5GF36IU_96.0_98.0.mp4,53,fun
-1g7tf2VE8k_000072_000082.mp4,9|59|14,beauty|human_hair_color|blond
-1h2UYmnrjA_000051_000061.mp4,78,orange
-1lwDg7Dot8_69.5_71.5.mp4,66,leisure
-1lwDg7Dot8_95.5_97.5.mp4,57,green
-1m7Socn9N8_000000_000010.mp4,9|38|13|59,beauty|darkness|black_hair|human_hair_color
-1pjZEQPuLg_000000_000010.mp4,7|21|59,bangs|brown_hair|human_hair_color
-1uZSSf2VoE_000007_000017.mp4,86,plastic
-1wA8xKlsBA_000015_000025.mp4,12,black_and_white
-1xOBOvoSQg_000046_000056.mp4,110,wood
-1y3mCb3rgk_000004_000014.mp4,110,wood
-20pR5smXBU_000058_000068.mp4,59,human_hair_color
-22q8QhZs5I_000014_000024.mp4,38|11,darkness|black
-22sLOaB2aQ_28.5_30.5.mp4,53,fun
-22sLOaB2aQ_34.0_36.0.mp4,53,fun
-2405jLS3iE_81.0_83.0.mp4,39|53,daytime|fun
-24gpfutlco_000000_000010.mp4,38|39|59,darkness|daytime|human_hair_color
-292dAr-Swc_000129_000139.mp4,9,beauty
-29Vl38fM78_000028_000038.mp4,80,paper
-2C6uZd6tLI_000019_000029.mp4,109,white
-2CpvWzOM9Q_20.5_22.5.mp4,66,leisure
-2CpvWzOM9Q_26.0_28.0.mp4,66,leisure
-2CpvWzOM9Q_43.5_45.5.mp4,66,leisure
-2CpvWzOM9Q_60.0_62.0.mp4,66,leisure
-2DBH2Fide8_7.5_9.5.mp4,12,black_and_white
-2DgtJAVLbU_57.5_59.5.mp4,53,fun
-2EqkonWu0w_000185_000195.mp4,53|13|8,fun|black_hair|barechestedness
-2JwzNBHs5c_000025_000035.mp4,71,metal
-2KCU5I3JCU_000070_000080.mp4,109,white
-2LGHSr6-aU_000048_000058.mp4,46,evergreen
-2P0FpLga2s_000005_000015.mp4,66,leisure
-2Qe1KlyGqQ_000026_000036.mp4,108|32|15|92|44,violet|cobalt_blue|blue|purple|electric_blue
-2X5zUKbpvQ_000000_000010.mp4,72,metropolis
-2YJwC_K7Z0_76.5_78.5.mp4,66,leisure
-2ZB7P0lxVw_000091_000101.mp4,12|53,black_and_white|fun
-2bG5jYkhnE_000000_000010.mp4,53,fun
-2dW-FjUe0I_14.5_16.5.mp4,53,fun
-2dW-FjUe0I_36.0_38.0.mp4,53,fun
-2fqi2-o92s_000004_000014.mp4,53,fun
-2g3EWT3HpA_000000_000010.mp4,12|38|11,black_and_white|darkness|black
-2hPDZscGMg_13.5_15.5.mp4,53|66,fun|leisure
-2hPDZscGMg_24.5_26.5.mp4,53,fun
-2hPDZscGMg_37.0_39.0.mp4,66,leisure
-2hPDZscGMg_4.0_6.0.mp4,116|53|66,youth|fun|leisure
-2iYBWJ_VmU_000000_000010.mp4,13,black_hair
-2mD9qKOW2o_000097_000107.mp4,66,leisure
-2nAugjV9pA_000120_000130.mp4,38,darkness
-2nuYIZbykg_24.5_26.5.mp4,5,asphalt
-2nuYIZbykg_36.5_38.5.mp4,53|5,fun|asphalt
-2nuYIZbykg_62.5_64.5.mp4,12,black_and_white
-2uwjAF-OHo_000035_000045.mp4,59,human_hair_color
-2wbNIHLYTk_000040_000050.mp4,53|13|66,fun|black_hair|leisure
-2yQCvssG0E_000012_000022.mp4,66,leisure
-33-tnkVo5g_000000_000010.mp4,76,multimedia
-34fbYNH8XE_120.0_122.0.mp4,84|109,pink|white
-34fbYNH8XE_88.5_90.5.mp4,84|69,pink|magenta
-35tBEtWL08_000210_000220.mp4,53|13|39,fun|black_hair|daytime
-38MfW7H91E_108.5_110.5.mp4,66,leisure
-38MfW7H91E_97.0_99.0.mp4,66,leisure
-39Ue1ss3gI_000000_000010.mp4,66,leisure
-3A-DZg79LQ_000046_000056.mp4,43,elder
