original_filename,Label,tag
--9N3YdTOIM_39.0_41.0.mp4,16|14,competition|championship
--9N3YdTOIM_80.0_82.0.mp4,16,competition
--DDIxyAwIk_6.0_8.0.mp4,65,vacation
--H6ZFJXDq4_6.5_8.5.mp4,44,night
--JBrgsW5UI_26.5_28.5.mp4,16|64,competition|tournament
--NL-GP04Ls_179.5_181.5.mp4,27,festival
--QG-bjOFSA_000000_000010.mp4,65|61,vacation|summer
--VtCsmlD18_000047_000057.mp4,61|65,summer|vacation
--Z5dqN2hKY_81.5_83.5.mp4,16|65,competition|vacation
--_-T3-Qvg4_45.5_47.5.mp4,44,night
--ayR6l14VQ_42.5_44.5.mp4,16,competition
--bsBWWySaQ_24.0_26.0.mp4,16,competition
--bsBWWySaQ_50.0_52.0.mp4,16,competition
--gMWIQlLvs_000122_000132.mp4,44,night
--gdlZhyZcg_000001_000011.mp4,68,winter
--jDtmT7ijg_1.5_3.5.mp4,61|65,summer|vacation
--jDtmT7ijg_20.5_22.5.mp4,61|65,summer|vacation
--pwwUIq5R0_11.0_13.0.mp4,44|51,night|public_event
--rSKL-i6qQ_000015_000025.mp4,44|55,night|rock_concert
-0BpVQEChv8_2.0_4.0.mp4,68,winter
-0BpVQEChv8_5.5_7.5.mp4,68|1,winter|adventure
-0BpVQEChv8_8.5_10.5.mp4,68,winter
-0Db_ktMTtg_23.0_25.0.mp4,65|1,vacation|adventure
-0Llfq_N3P8_000041_000051.mp4,44,night
-0SjqzJKQOM_000014_000024.mp4,52,race
-0g3eQYArEg_000000_000010.mp4,2,air_travel
-0hijc1QF9M_16.0_18.0.mp4,16,competition
-0hijc1QF9M_33.5_35.5.mp4,16,competition
-0tkkA6mm4Y_29.0_31.0.mp4,65,vacation
-0tkkA6mm4Y_67.5_69.5.mp4,61,summer
-0uI3UBQShA_114.5_116.5.mp4,44,night
-1562OKwQw4_158.0_160.0.mp4,65,vacation
-165n2L_oCY_000032_000042.mp4,9,breakfast
-1EwnNsDNuw_000000_000010.mp4,8,bedtime
-1HSyfKBG_M_1.5_3.5.mp4,44,night
-1L06tE9vL0_000037_000047.mp4,52|16,race|competition
-1NAV5z1tIs_39.0_41.0.mp4,68|1,winter|adventure
-1NAV5z1tIs_55.0_57.0.mp4,68|1,winter|adventure
-1Pe4dntZoE_000452_000462.mp4,65,vacation
-1ex5GF36IU_73.0_75.0.mp4,36,lunch
-1h2UYmnrjA_000051_000061.mp4,36,lunch
-22q8QhZs5I_000014_000024.mp4,44|25,night|evening
-2405jLS3iE_81.0_83.0.mp4,65,vacation
-2405jLS3iE_92.5_94.5.mp4,26,exhibition
-29Vl38fM78_000028_000038.mp4,37,manicure
-2CpvWzOM9Q_20.5_22.5.mp4,16,competition
-2CpvWzOM9Q_26.0_28.0.mp4,16,competition
-2CpvWzOM9Q_43.5_45.5.mp4,16|64,competition|tournament
-2CpvWzOM9Q_60.0_62.0.mp4,16|64,competition|tournament
-2DgtJAVLbU_57.5_59.5.mp4,16|65,competition|vacation
-2LGHSr6-aU_000048_000058.mp4,41,morning
-2P0FpLga2s_000005_000015.mp4,16,competition
-2PtaAIy-iY_55.5_57.5.mp4,68,winter
-2PtaAIy-iY_89.0_91.0.mp4,41,morning
-2YJwC_K7Z0_86.0_88.0.mp4,16|52,competition|race
-2g3EWT3HpA_000000_000010.mp4,16,competition
-2hPDZscGMg_37.0_39.0.mp4,44,night
-2nAugjV9pA_000120_000130.mp4,44,night
-2nuYIZbykg_24.5_26.5.mp4,1,adventure
-2qclFi2TxA_24.5_26.5.mp4,16|14,competition|championship
-2wbNIHLYTk_000040_000050.mp4,65,vacation
-3A-DZg79LQ_000046_000056.mp4,59,speech
-3Z-qnSOu58_000016_000026.mp4,16,competition
-3_Po1oU7eo_36.0_38.0.mp4,52,race
-3_Po1oU7eo_64.0_66.0.mp4,52,race
-3xegQMJ7Fk_000009_000019.mp4,16|64,competition|tournament
-4-VYUArmkk_000011_000021.mp4,44,night
-47h3dWv9yY_38.0_40.0.mp4,65,vacation
-47h3dWv9yY_52.0_54.0.mp4,61,summer
-487uaKyxkk_000002_000012.mp4,13,ceremony
-4ABpKHmzY4_104.5_106.5.mp4,16,competition
-4GCEwPo8pM_104.5_106.5.mp4,68|1,winter|adventure
-4LYNw70RmQ_000000_000010.mp4,68,winter
-4UzKPJ8iiM_000001_000011.mp4,64|16,tournament|competition
-4d31XgzGYk_000000_000010.mp4,68,winter
-4dlBfNNRS8_000000_000010.mp4,65,vacation
-4do0TqzPJg_000003_000013.mp4,44,night
-4ei6NIBgDA_000032_000042.mp4,68,winter
-4gGoKPwsOE_000000_000010.mp4,1,adventure
-4sksQX_MU0_22.5_24.5.mp4,16|14,competition|championship
-5-kARuyUeA_119.5_121.5.mp4,68,winter
-5-kARuyUeA_86.5_88.5.mp4,68,winter
-51cpEaNa-4_27.0_29.0.mp4,41,morning
-5E5PTH83gU_000038_000048.mp4,16,competition
-5EarggcrSE_000053_000063.mp4,40|20,meeting|conversation
-5JT2QYZUqw_11.5_13.5.mp4,16|64,competition|tournament
-5JT2QYZUqw_6.5_8.5.mp4,16,competition
-5JU4hEzxuI_52.0_54.0.mp4,61,summer
-5KCLWPxwUM_000052_000062.mp4,1|65,adventure|vacation
-5NN8juyiyU_000125_000135.mp4,16|64,competition|tournament
-5QSznSYnuo_000041_000051.mp4,68,winter
-5V757DRl-0_24.5_26.5.mp4,48,picnic
-5hbiQLIzQc_000058_000068.mp4,26,exhibition
-5ofiGDZ_Lg_1.0_3.0.mp4,16|64,competition|tournament
-5to547JBns_000000_000010.mp4,68,winter
-60AQR2mkTI_124.5_126.5.mp4,61,summer
-60AQR2mkTI_25.5_27.5.mp4,65|61,vacation|summer
-64SFG45MGc_000211_000221.mp4,17,concert
-69n8yvybWY_000000_000010.mp4,41,morning
-6CcFxfkda8_000187_000197.mp4,63|23|36,supper|dinner|lunch
-6FHE0VZHlc_000053_000063.mp4,68,winter
-6H1FUsW0rg_113.5_115.5.mp4,16,competition
-6H1FUsW0rg_131.0_133.0.mp4,16|64,competition|tournament
-6H1FUsW0rg_135.5_137.5.mp4,16,competition
-6J2MrOO_gQ_25.0_27.0.mp4,52,race
-6TZL_FSK9Y_000051_000061.mp4,44,night
-6VvD5zvew4_115.5_117.5.mp4,16,competition
-6VvD5zvew4_98.5_100.5.mp4,16|64,competition|tournament
-6XB_NX3MD0_27.0_29.0.mp4,68,winter
-6XB_NX3MD0_8.0_10.0.mp4,68|1,winter|adventure
-6YpsicTcOs_000000_000010.mp4,16,competition
-6YuZ5itrxc_000004_000014.mp4,68|65,winter|vacation
-6cD_3Ye4_U_0.5_2.5.mp4,16,competition
-6j0i3VqyiY_000010_000020.mp4,68,winter
-6prmNqkAN8_000015_000025.mp4,68,winter
-6wt7KeI3bk_75.5_77.5.mp4,16|65,competition|vacation
-6zj8g4SqDo_000004_000014.mp4,51|52,public_event|race
-7-ED1IlHmw_000409_000419.mp4,1,adventure
-72_o39yKiI_000029_000039.mp4,44,night
-73EvXP2mqU_000000_000010.mp4,44,night
-73NGni8J7M_000000_000010.mp4,68,winter
-79XOVmz-1g_000745_000755.mp4,44,night
-7D9iNSDZ30_000007_000017.mp4,37,manicure
-7Pmy7rh-BE_000054_000064.mp4,49,presentation
-7VTqse_EVI_000179_000189.mp4,44,night
-7WEuQfa25c_000004_000014.mp4,16,competition
-7bw79R7GKY_1.0_3.0.mp4,16,competition
-7bw79R7GKY_12.5_14.5.mp4,16,competition
-7gYWt2ZBD0_000002_000012.mp4,65,vacation
-7hfDGOP5Cw_50.0_52.0.mp4,68|1,winter|adventure
-7hfDGOP5Cw_87.5_89.5.mp4,62|41,sunrise_and_sunset|morning
-7iFhCbTzDo_27.0_29.0.mp4,52,race
-7kBVsJ5bDY_000003_000013.mp4,25,evening
-7kCxH7dMAQ_10.0_12.0.mp4,16,competition
-7l3vYGQjz4_12.5_14.5.mp4,61|41|16,summer|morning|competition
-7lx50QWhRg_10.5_12.5.mp4,16,competition
-7lx50QWhRg_31.5_33.5.mp4,16,competition
-7lx50QWhRg_4.5_6.5.mp4,16,competition
-7lx50QWhRg_73.5_75.5.mp4,16,competition
-7oodRJhe_Q_000023_000033.mp4,64|16,tournament|competition
-7uo8RLqsLA_000226_000236.mp4,44,night
