Tag,Category,Label
playing_trombone,action,0
playing_controller,action,1
photograph,action,2
recreation,action,3
sitting,action,4
situp,action,5
playing_recorder,action,6
playing_flute,action,7
playing_bass_guitar,action,8
throwing_tantrum,action,9
standing,action,10
roller_skating,action,11
using_segway,action,12
playing_violin,action,13
playing_saxophone,action,14
smile,action,15
playing_organ,action,16
inflating_balloons,action,17
waving_hand,action,18
public_speaking,action,19
singing,action,20
outdoor_recreation,action,21
playing_trumpet,action,22
playing_pan_pipes,action,23
percussion,action,24
playing_ocarina,action,25
smoking_pipe,action,26
backflip_human_,action,27
marching,action,28
giving_or_receiving_award,action,29
grooming_horse,action,30
answering_questions,action,31
yoga,action,32
cutting_orange,action,33
playing_pinball,action,34
alligator_wrestling,action,35
breathing_fire,action,36
busking,action,37
snowmobiling,action,38
folding_napkins,action,39
making_paper_aeroplanes,action,40
cumbia,action,41
putting_on_eyeliner,action,42
recording_music,action,43
pushing_cart,action,44
dance,action,45
dancing_macarena,action,46
pushing_wheelchair,action,47
playing_cymbals,action,48
bartending,action,49
fixing_hair,action,50
ice_fishing,action,51
falling_off_chair,action,52
disc_golfing,action,53
belly_dancing,action,54
skiing_mono,action,55
putting_on_lipstick,action,56
repairing_puncture,action,57
tossing_coin,action,58
using_remote_controller_not_gaming_,action,59
jumping_jacks,action,60
drinking_shots,action,61
country_line_dancing,action,62
contorting,action,63
kicking_soccer_ball,action,64
figure_skating,action,65
calligraphy,action,66
home_roasting_coffee,action,67
karaoke,action,68
flipping_pancake,action,69
catching_or_throwing_baseball,action,70
counting_money,action,71
eating_hotdog,action,72
gospel_singing_in_church,action,73
geocaching,action,74
getting_a_tattoo,action,75
acting_in_play,action,76
massaging_feet,action,77
playing_poker,action,78
drop_kicking,action,79
needle_felting,action,80
making_a_sandwich,action,81
opening_door,action,82
unboxing,action,83
control,action,84
playing_ukulele,action,85
folding_clothes,action,86
playing_didgeridoo,action,87
playing_keyboard,action,88
sword_swallowing,action,89
tying_bow_tie,action,90
playing_chess,action,91
sharpening_pencil,action,92
shearing_sheep,action,93
yarn_spinning,action,94
writing,action,95
wrapping_present,action,96
whistling,action,97
washing_hands,action,98
track_and_field,action,99
sprint,action,100
triple_jump,action,101
trimming_trees,action,102
sailing,action,103
boating,action,104
windsurfing,action,105
physical_exercise,action,106
playing_xylophone,action,107
tickling,action,108
swimming,action,109
swimming_breast_stroke,action,110
smoking,action,111
playing_bagpipes,action,112
weaving_basket,action,113
running,action,114
jumping,action,115
high_jump,action,116
washing_feet,action,117
twiddling_fingers,action,118
attending_conference,action,119
brush_painting,action,120
building_cabinet,action,121
crossing_eyes,action,122
cutting_pineapple,action,123
bottling,action,124
braiding_hair,action,125
bowling,action,126
breading_or_breadcrumbing,action,127
ball_game,action,128
breakdancing,action,129
breaking_boards,action,130
sparring,action,131
brushing_hair,action,132
building_sandcastle,action,133
building_lego,action,134
bulldozing,action,135
bull_fighting,action,136
drawing,action,137
burping,action,138
calculating,action,139
carving_ice,action,140
cartwheeling,action,141
carving_pumpkin,action,142
card_stacking,action,143
celebrating,action,144
changing_oil,action,145
chiseling_wood,action,146
climbing_ladder,action,147
chopping_meat,action,148
cleaning_gutters,action,149
cooking,action,150
chopping_vegetables,action,151
cleaning_pool,action,152
sports_training,action,153
strength_training,action,154
clean_and_jerk,action,155
coloring_in,action,156
cooking_on_campfire,action,157
cooking_scallops,action,158
cracking_knuckles,action,159
crawling_baby,action,160
crossing_river,action,161
motorcycling,action,162
curling_sport_,action,163
cutting_watermelon,action,164
cutting_nails,action,165
eating,action,166
choreography,action,167
dancing_ballet,action,168
dancing_charleston,action,169
driving_tractor,action,170
riding_mower,action,171
drooling,action,172
dancing_gangnam_style,action,173
drumming_fingers,action,174
dumpster_diving,action,175
dyeing_eyebrows,action,176
dunking_basketball,action,177
basketball_moves,action,178
eating_carrots,action,179
eating_doughnuts,action,180
doing_laundry,action,181
sleeping,action,182
eating_chips,action,183
egg_hunting,action,184
eating_watermelon,action,185
fidgeting,action,186
exercising_with_an_exercise_ball,action,187
embroidering,action,188
faceplanting,action,189
falling_off_bike,action,190
cycling,action,191
lighting_fire,action,192
lock_picking,action,193
feeding_birds,action,194
scuba_diving,action,195
diving,action,196
feeding_fish,action,197
underwater_diving,action,198
learning,action,199
fencing_sport_,action,200
finger_snapping,action,201
fixing_bicycle,action,202
luge,action,203
sledding,action,204
tobogganing,action,205
lunge,action,206
flint_knapping,action,207
fly_tying,action,208
golf,action,209
front_raises,action,210
folding_paper,action,211
getting_a_haircut,action,212
frying_vegetables,action,213
golf_driving,action,214
golf_chipping,action,215
grooming_dog,action,216
hand_washing_clothes,action,217
gymnastics_tumbling,action,218
head_stand,action,219
hammer_throw,action,220
headbutting,action,221
historical_reenactment,action,222
holding_snake,action,223
high_kick,action,224
boxing,action,225
wrestling,action,226
hopscotch,action,227
hoverboarding,action,228
hurdling,action,229
huddling,action,230
american_football,action,231
