Tag,Category,Label
fun,attribute,0
beauty,attribute,1
leisure,attribute,2
human_hair_color,attribute,3
black_and_white,attribute,4
darkness,attribute,5
black,attribute,6
long_hair,attribute,7
blond,attribute,8
wood,attribute,9
red,attribute,10
concrete,attribute,11
blue,attribute,12
daytime,attribute,13
military,attribute,14
denim,attribute,15
magenta,attribute,16
reflection,attribute,17
freezing,attribute,18
monochrome,attribute,19
multimedia,attribute,20
neon,attribute,21
black_hair,attribute,22
white,attribute,23
pink,attribute,24
electric_blue,attribute,25
cobalt_blue,attribute,26
silver,attribute,27
asphalt,attribute,28
cool,attribute,29
violet,attribute,30
plastic,attribute,31
metal,attribute,32
barechestedness,attribute,33
plywood,attribute,34
paper,attribute,35
gold,attribute,36
caramel_color,attribute,37
art_paper,attribute,38
evergreen,attribute,39
deciduous,attribute,40
youth,attribute,41
floating,attribute,42
elder,attribute,43
green,attribute,44
yellow,attribute,45
inflatable,attribute,46
polka_dot,attribute,47
orange,attribute,48
classic,attribute,49
sweetness,attribute,50
turquoise,attribute,51
azure,attribute,52
calm,attribute,53
purple,attribute,54
maroon,attribute,55
brown_hair,attribute,56
bricks_and_mortar,attribute,57
boiling,attribute,58
ceramic,attribute,59
iron,attribute,60
leather,attribute,61
symmetry,attribute,62
aggression,attribute,63
hunky,attribute,64
angora,attribute,65
wool,attribute,66
explosive_material,attribute,67
happy,attribute,68
dairy,attribute,69
shade,attribute,70
silk,attribute,71
synthetic_rubber,attribute,72
laminate,attribute,73
woven_fabric,attribute,74
woolen,attribute,75
plush,attribute,76
metropolis,attribute,77
moist,attribute,78
teal,attribute,79
brown,attribute,80
bangs,attribute,81
beige,attribute,82
cleft,attribute,83
drama,attribute,84
clay,attribute,85
rapid,attribute,86
peach,attribute,87
al_dente,attribute,88
bmw,attribute,89
caffeine,attribute,90
lilac,attribute,91
transparency_and_translucency,attribute,92
brass,attribute,93
citric_acid,attribute,94
origami_paper,attribute,95
complexion,attribute,96
afro,attribute,97
cardboard,attribute,98
red_hair,attribute,99
pompadour,attribute,100
fluid,attribute,101
layered_hair,attribute,102
pigtail,attribute,103
glitter,attribute,104
coca_cola,attribute,105
camouflage,attribute,106
velvet,attribute,107
platinum_blond,attribute,108
satin,attribute,109
flyweight,attribute,110
plane,attribute,111
patchwork,attribute,112
emerald,attribute,113
wrinkle,attribute,114
forward,attribute,115
granite,attribute,116
