Tag,Category,Label
classical_music,concept,0
music,concept,1
electronics,concept,2
technology,concept,3
nature,concept,4
sport,concept,5
performing_arts,concept,6
entertainment,concept,7
performance,concept,8
male,concept,9
lighting,concept,10
art,concept,11
close_up,concept,12
choir,concept,13
design,concept,14
hairstyle,concept,15
human_behavior,concept,16
musical_ensemble,concept,17
line,concept,18
font,concept,19
military_organization,concept,20
marching_band,concept,21
crowd,concept,22
team,concept,23
crew,concept,24
army,concept,25
troop,concept,26
song,concept,27
film,concept,28
news,concept,29
logo,concept,30
graphics,concept,31
interaction,concept,32
religion,concept,33
clergy,concept,34
games,concept,35
wildlife,concept,36
fauna,concept,37
heat,concept,38
automotive_design,concept,39
automotive_exterior,concept,40
indoor_games_and_sports,concept,41
shadow,concept,42
extreme_sport,concept,43
pattern,concept,44
silhouette,concept,45
winter_sport,concept,46
geological_phenomenon,concept,47
selfie,concept,48
service,concept,49
job,concept,50
plaster,concept,51
research,concept,52
angle,concept,53
orchestra,concept,54
pop_music,concept,55
rectangle,concept,56
electrical_network,concept,57
audience,concept,58
emotion,concept,59
money,concept,60
currency,concept,61
tradition,concept,62
official,concept,63
stock_photography,concept,64
geology,concept,65
rock,concept,66
graphic_design,concept,67
architecture,concept,68
brand,concept,69
romance,concept,70
organism,concept,71
animal_source_foods,concept,72
junk_food,concept,73
cuisine,concept,74
handwriting,concept,75
athletics,concept,76
vegetation,concept,77
public_utility,concept,78
interior_design,concept,79
fixed_link,concept,80
water_transportation,concept,81
wind,concept,82
physical_fitness,concept,83
memorial,concept,84
love,concept,85
friendship,concept,86
water_sport,concept,87
endurance_sports,concept,88
tartan,concept,89
plaid,concept,90
real_estate,concept,91
ecosystem,concept,92
facial_expression,concept,93
dog_breed,concept,94
individual_sports,concept,95
infrastructure,concept,96
east_asian_food,concept,97
asian_food,concept,98
seafood,concept,99
mixture,concept,100
recipe,concept,101
martial_arts,concept,102
striking_combat_sports,concept,103
japanese_martial_arts,concept,104
combat_sport,concept,105
tourism,concept,106
mode_of_transport,concept,107
animal_sports,concept,108
construction,concept,109
painting,concept,110
visual_arts,concept,111
graffito,concept,112
street_art,concept,113
golf_club,concept,114
tool,concept,115
vegetarian_food,concept,116
fictional_character,concept,117
circle,concept,118
off_road,concept,119
land_vehicle,concept,120
plant_community,concept,121
people,concept,122
family,concept,123
local_food,concept,124
community,concept,125
contact_sport,concept,126
agriculture,concept,127
waste_containment,concept,128
display_advertising,concept,129
team_sport,concept,130
major_appliance,concept,131
american_food,concept,132
baked_goods,concept,133
meal,concept,134
finger_food,concept,135
fast_food,concept,136
cycle_sport,concept,137
marine_mammal,concept,138
underwater,concept,139
class,concept,140
comfort,concept,141
benthos,concept,142
shoal,concept,143
match_play,concept,144
herd,concept,145
war,concept,146
stick_and_ball_games,concept,147
boardsport,concept,148
watercraft,concept,149
kite_sports,concept,150
surface_water_sports,concept,151
windsports,concept,152
comfort_food,concept,153
motorsport,concept,154
medical,concept,155
taste,concept,156
european_food,concept,157
italian_food,concept,158
shelving,concept,159
inventory,concept,160
luxury_vehicle,concept,161
television_program,concept,162
energy,concept,163
air_sports,concept,164
weapon,concept,165
racquet_sport,concept,166
ball_over_a_net_games,concept,167
doubles,concept,168
square,concept,169
modern_art,concept,170
stick_and_ball_sports,concept,171
public_transport,concept,172
social_group,concept,173
equestrian_sport,concept,174
traditional_sport,concept,175
cube,concept,176
party_supply,concept,177
number,concept,178
software,concept,179
natural_foods,concept,180
classic_car,concept,181
health_care,concept,182
mid_size_car,concept,183
roller_sport,concept,184
aviation,concept,185
air_force,concept,186
floristry,concept,187
floral_design,concept,188
pollution,concept,189
aerial_photography,concept,190
court_game,concept,191
business,concept,192
commodity,concept,193
erg,concept,194
meteorological_phenomenon,concept,195
decor,concept,196
japanese_cuisine,concept,197
engineering,concept,198
lockstitch,concept,199
tread,concept,200
fashion_design,concept,201
cylinder,concept,202
clip_art,concept,203
symbol,concept,204
weapon_combat_sports,concept,205
pyramid,concept,206
towed_water_sport,concept,207
industry,concept,208
packaging_and_labeling,concept,209
side_dish,concept,210
bat_and_ball_games,concept,211
shooting_sport,concept,212
artistic_gymnastics,concept,213
cellular_network,concept,214
non_sporting_group,concept,215
heart,concept,216
primate,concept,217
military_officer,concept,218
laser,concept,219
mesh,concept,220
triangle,concept,221
arch,concept,222
field_game,concept,223
medicine,concept,224
laughter,concept,225
law_enforcement,concept,226
mineral,concept,227
fried_food,concept,228
street_food,concept,229
traffic,concept,230
sphere,concept,231
line_art,concept,232
police,concept,233
pollinator,concept,234
mass_production,concept,235
circus,concept,236
telephony,concept,237
monochrome_photography,concept,238
animal_migration,concept,239
emergency_service,concept,240
rapid_transit,concept,241
german_food,concept,242
grilled_food,concept,243
still_life_photography,concept,244
still_life,concept,245
costume_design,concept,246
spiral,concept,247
management,concept,248
superfood,concept,249
electricity,concept,250
stucco,concept,251
pint_us,concept,252
computer_program,concept,253
diet_food,concept,254
convenience_food,concept,255
website,concept,256
security,concept,257
frozen_food,concept,258
light_commercial_vehicle,concept,259
confectionery,concept,260
map,concept,261
tribe,concept,262
spring_break,concept,263
spoor,concept,264
dressage,concept,265
pachyderm,concept,266
ancient_history,concept,267
luxury_yacht,concept,268
military_rank,concept,269
cable_management,concept,270
blessing,concept,271
court,concept,272
water_ball_sports,concept,273
emergency,concept,274
rose_order,concept,275
color_guard,concept,276
star,concept,277
skin_care,concept,278
history,concept,279
medal_play,concept,280
ensemble,concept,281
concert_band,concept,282
video_game_software,concept,283
dialog_box,concept,284
singles,concept,285
spotlight,concept,286
whole_food,concept,287
dog_sports,concept,288
collaboration,concept,289
spanish_cuisine,concept,290
