Tag,Category,Label
summer,event,0
night,event,1
concert,event,2
vacation,event,3
wedding,event,4
ceremony,event,5
morning,event,6
adventure,event,7
public_event,event,8
conversation,event,9
party,event,10
winter,event,11
competition,event,12
race,event,13
broad_jump,event,14
multi_sport_event,event,15
decathlon,event,16
meeting,event,17
convention,event,18
seminar,event,19
speech,event,20
disaster,event,21
halloween,event,22
banquet,event,23
art_exhibition,event,24
exhibition,event,25
demonstration,event,26
bedtime,event,27
brunch,event,28
breakfast,event,29
lunch,event,30
autumn,event,31
conference,event,32
parade,event,33
festival,event,34
carnival,event,35
rock_concert,event,36
massage,event,37
spring,event,38
holiday,event,39
christmas,event,40
tournament,event,41
evening,event,42
championship,event,43
lecture,event,44
presentation,event,45
ritual,event,46
ski_cross,event,47
general_aviation,event,48
air_travel,event,49
flight,event,50
sunrise_and_sunset,event,51
news_conference,event,52
supper,event,53
manicure,event,54
safari,event,55
protest,event,56
award_ceremony,event,57
dinner,event,58
picnic,event,59
road_trip,event,60
auto_show,event,61
heptathlon,event,62
marathon,event,63
freight_transport,event,64
800_metres,event,65
photo_shoot,event,66
wedding_reception,event,67
graduation,event,68
