Tag,Category,Label
brass_instrument,object,0
musical_instrument,object,1
trumpet,object,2
woodwind_instrument,object,3
musician,object,4
musical_instrument_accessory,object,5
wind_instrument,object,6
trombone,object,7
trumpeter,object,8
gadget,object,9
electronic_musical_instrument,object,10
electronic_device,object,11
arm,object,12
thumb,object,13
joystick,object,14
audio_equipment,object,15
nail,object,16
hand,object,17
human_body,object,18
finger,object,19
joint,object,20
shoulder,object,21
human_leg,object,22
girl,object,23
grass,object,24
plant,object,25
footwear,object,26
tree,object,27
shorts,object,28
thigh,object,29
lawn,object,30
mouth,object,31
child,object,32
nose,object,33
hair,object,34
head,object,35
eye,object,36
cheek,object,37
forehead,object,38
eyebrow,object,39
face,object,40
violist,object,41
cellist,object,42
violin_family,object,43
man,object,44
cello,object,45
string_instrument,object,46
human,object,47
bowed_string_instrument,object,48
flute,object,49
flautist,object,50
fipple_flute,object,51
flutist,object,52
string_instrument_accessory,object,53
guitarist,object,54
chin,object,55
neck,object,56
plucked_string_instruments,object,57
guitar,object,58
lip,object,59
bass_guitar,object,60
loudspeaker,object,61
speaker,object,62
furniture,object,63
subwoofer,object,64
home_appliance,object,65
toddler,object,66
table,object,67
saxophonist,object,68
baritone_saxophone,object,69
tenor_saxophonist,object,70
saxophone,object,71
skateboarding_equipment_and_supplies,object,72
segway,object,73
unicycle,object,74
parquet,object,75
flooring,object,76
violinist,object,77
reed_instrument,object,78
electric_piano,object,79
piano_keyboard,object,80
pianist,object,81
fortepiano,object,82
pianet,object,83
musical_keyboard,object,84
piano,object,85
keyboard_instrument,object,86
balloon,object,87
ball,object,88
flower,object,89
sari,object,90
orator,object,91
outerwear,object,92
cloud,object,93
player,object,94
cornet,object,95
skin,object,96
boy,object,97
infant,object,98
glasses,object,99
facial_hair,object,100
eyewear,object,101
jaw,object,102
woody_plant,object,103
text,object,104
sunlight,object,105
military_person,object,106
grenadier,object,107
uniform,object,108
infantry,object,109
newscaster,object,110
fur,object,111
ear,object,112
microphone,object,113
senior_citizen,object,114
headgear,object,115
moustache,object,116
singer,object,117
beard,object,118
arcade_game,object,119
pinball_machine,object,120
snout,object,121
vertebrate,object,122
jeans,object,123
city_car,object,124
fire,object,125
vehicle,object,126
car,object,127
motor_vehicle,object,128
family_car,object,129
display_device,object,130
slot,object,131
slot_machine,object,132
automotive_lighting,object,133
textile,object,134
tom_tom_drum,object,135
drum,object,136
drummer,object,137
percussionist,object,138
eyelash,object,139
organ,object,140
eye_shadow,object,141
makeup,object,142
organist,object,143
audio_engineer,object,144
baby_products,object,145
doll,object,146
woman,object,147
dancer,object,148
wheelchair,object,149
wheel,object,150
t_shirt,object,151
poster,object,152
tarpaulin,object,153
skin_head_percussion_instrument,object,154
drumstick,object,155
cymbal,object,156
steel_drum,object,157
display_window,object,158
muscle,object,159
light_fixture,object,160
branch,object,161
neon_sign,object,162
vigil_light,object,163
dry_suit,object,164
ice,object,165
spinet,object,166
clavier,object,167
oboist,object,168
knee,object,169
machine,object,170
costume,object,171
camera_operator,object,172
hip,object,173
leaf,object,174
helmet,object,175
lip_gloss,object,176
cosmetics,object,177
lipstick,object,178
tire,object,179
automotive_wheel_system,object,180
rim,object,181
automotive_tire,object,182
computer_keyboard,object,183
wire,object,184
microcontroller,object,185
electrical_wiring,object,186
circuit_component,object,187
remote_control,object,188
electronic_component,object,189
circuit,object,190
electronics_accessory,object,191
drink,object,192
lighter,object,193
foot,object,194
back,object,195
chalk,object,196
water,object,197
personal_protective_equipment,object,198
ice_skate,object,199
wind_wave,object,200
outdoor_structure,object,201
cash,object,202
measuring_instrument,object,203
small_appliance,object,204
hardware,object,205
soil,object,206
abdomen,object,207
tattoo,object,208
bodybuilder,object,209
sign,object,210
model,object,211
free_reed_aerophone,object,212
folk_instrument,object,213
accordion,object,214
board_game,object,215
clothing,object,216
couch,object,217
produce,object,218
violin,object,219
double_bass,object,220
sun,object,221
artwork,object,222
bratwurst,object,223
meat,object,224
sausage,object,225
dessert,object,226
dish,object,227
food,object,228
safe,object,229
ocarina,object,230
wood_stain,object,231
latch,object,232
lock,object,233
video_game_console,object,234
box,object,235
home_game_console_accessory,object,236
playstation_accessory,object,237
game_controller,object,238
input_device,object,239
mellophone,object,240
euphonium,object,241
electronic_keyboard,object,242
keyboard_player,object,243
dress_shirt,object,244
suit,object,245
fashion_accessory,object,246
bow_tie,object,247
collar,object,248
formal_wear,object,249
necktie,object,250
sewing_machine,object,251
pencil_sharpener,object,252
sheep,object,253
livestock,object,254
iris,object,255
pen,object,256
document,object,257
paper_product,object,258
office_supplies,object,259
portrait,object,260
sleeve,object,261
artisan,object,262
torso,object,263
highchair,object,264
plumbing_fixture,object,265
faucet,object,266
sink,object,267
plumbing,object,268
hurdle,object,269
athlete,object,270
street_light,object,271
pole,object,272
bungee,object,273
ceiling,object,274
wall,object,275
door,object,276
surfing_equipment_and_supplies,object,277
mast,object,278
sail,object,279
sailboat,object,280
boat,object,281
sculpture,object,282
marimba,object,283
statue,object,284
monument,object,285
swimmer,object,286
camgirl,object,287
lingerie,object,288
undergarment,object,289
ankle,object,290
chess_master,object,291
tabletop_game,object,292
chessman,object,293
chessboard,object,294
bagpipes,object,295
kilt,object,296
tuxedo,object,297
stubble,object,298
cap,object,299
tower,object,300
arecales,object,301
conifer,object,302
roof,object,303
facade,object,304
linens,object,305
walker,object,306
toy,object,307
pineapple,object,308
fruit,object,309
ananas,object,310
bromeliaceae,object,311
cumulus,object,312
dog,object,313
barber,object,314
hairdresser,object,315
guard_rail,object,316
bowling_ball,object,317
bowler,object,318
bowling_pin,object,319
dishware,object,320
tableware,object,321
ingredient,object,322
flour,object,323
hair_coloring,object,324
whiskers,object,325
trousers,object,326
black_belt,object,327
dobok,object,328
chest,object,329
smoke,object,330
carnivoran,object,331
mammal,object,332
sand,object,333
desk,object,334
lumber,object,335
carpenter,object,336
clown,object,337
swimwear,object,338
sunbather,object,339
mud,object,340
banderillero,object,341
cattle_like_mammal,object,342
matador,object,343
bull,object,344
rubble,object,345
power_shovel,object,346
construction_equipment,object,347
scrap,object,348
bulldozer,object,349
illustration,object,350
sportswear,object,351
window,object,352
plastic_bag,object,353
mural,object,354
graffiti,object,355
pumpkin,object,356
vegetable,object,357
gourd,object,358
jack_o_lantern,object,359
cucumber_gourd_and_melon_family,object,360
cucurbita,object,361
carving,object,362
telephone,object,363
snack,object,364
television_set,object,365
jacket,object,366
shirt,object,367
football_player,object,368
dress,object,369
motorcycle_accessories,object,370
outdoor_play_equipment,object,371
venison,object,372
red_meat,object,373
animal_fat,object,374
beef,object,375
butcher,object,376
beef_tenderloin,object,377
siding,object,378
carrot,object,379
water_feature,object,380
barbell,object,381
weights,object,382
weightlifter,object,383
exercise_equipment,object,384
cobblestone,object,385
outdoor_shoe,object,386
slate_roof,object,387
cartoon,object,388
cookware_and_bakeware,object,389
hot_pot,object,390
aioli,object,391
green_bean,object,392
tile,object,393
motocross_bike,object,394
motorcycle,object,395
melon,object,396
citrullus,object,397
watermelon,object,398
paw,object,399
cat,object,400
kitten,object,401
citrus,object,402
choreographer,object,403
bicycle,object,404
agricultural_machinery,object,405
tractor,object,406
mower,object,407
outdoor_power_equipment,object,408
mattress,object,409
bed,object,410
bed_frame,object,411
recycling_bin,object,412
garbage_man,object,413
waste_container,object,414
lobe,object,415
magazine,object,416
billboard,object,417
basketball_player,object,418
washing_machine,object,419
clothes_dryer,object,420
laundry,object,421
playpen,object,422
sandwich,object,423
paper_towel,object,424
medicine_ball,object,425
sports_equipment,object,426
road_bicycle,object,427
mountain_bike,object,428
herb,object,429
bicycle_accessory,object,430
bmx_bike,object,431
bird,object,432
beak,object,433
pigeons_and_doves,object,434
divemaster,object,435
diver,object,436
buoyancy_compensator,object,437
fish,object,438
diving_equipment,object,439
fin,object,440
aquanaut,object,441
shoe,object,442
student,object,443
common_pet_parakeet,object,444
parrot,object,445
parakeet,object,446
lovebird,object,447
perico,object,448
feather,object,449
macaw,object,450
cage,object,451
chair,object,452
coral_reef_fish,object,453
marine_invertebrates,object,454
algae,object,455
coral,object,456
aqua,object,457
goat,object,458
waterfowl,object,459
wave,object,460
ducks_geese_and_swans,object,461
tail,object,462
terrestrial_animal,object,463
chain_link_fencing,object,464
net,object,465
television_reporter,object,466
journalist,object,467
television_presenter,object,468
windshield,object,469
bicycle_wheel,object,470
alloy_wheel,object,471
bicycle_part,object,472
bicycle_frame,object,473
bicycle_tire,object,474
stove_and_oven,object,475
wok,object,476
countertop,object,477
kitchen_appliance,object,478
sled,object,479
snowmobile,object,480
handlebar,object,481
auto_part,object,482
bicycle_chain,object,483
steel,object,484
glass,object,485
artificial_fly,object,486
twig,object,487
spatula,object,488
dough,object,489
golf_equipment,object,490
top,object,491
tablecloth,object,492
envelope,object,493
leaf_vegetable,object,494
salad,object,495
golfer,object,496
putter,object,497
professional_golfer,object,498
spaniel,object,499
puppy,object,500
companion_dog,object,501
bridle,object,502
horse_harness,object,503
mare,object,504
mane,object,505
pack_animal,object,506
stallion,object,507
rein,object,508
horse_like_mammal,object,509
halter,object,510
horse,object,511
horse_tack,object,512
horse_supplies,object,513
dance_dress,object,514
ballet_skirt,object,515
plant_stem,object,516
active_undergarment,object,517
goal,object,518
drinkware,object,519
marines,object,520
red_carpet,object,521
boxing_glove,object,522
boxing_equipment,object,523
carpet,object,524
wrestler,object,525
shopping_cart,object,526
skateboarder,object,527
pedestrian,object,528
lacrosse_training_equipment,object,529
football_helmet,object,530
protective_equipment_in_gridiron_football,object,531
football_equipment_and_supplies,object,532
jersey,object,533
protective_gear_in_sports,object,534
longboard,object,535
skateboard,object,536
motorboat,object,537
boats_and_boating_equipment_and_supplies,object,538
javelin,object,539
surfboard,object,540
soccer_player,object,541
soccer_ball,object,542
hot_tub,object,543
tights,object,544
knitting_needle,object,545
knot,object,546
spindle,object,547
thread,object,548
crochet_needle,object,549
bricklayer,object,550
brick,object,551
stone_wall,object,552
brickwork,object,553
eating_apple,object,554
go_kart,object,555
all_terrain_vehicle,object,556
crop,object,557
physician,object,558
patient,object,559
construction_worker,object,560
mender,object,561
communication_device,object,562
mobile_phone,object,563
bobsled,object,564
baseball_cap,object,565
hat,object,566
scissors,object,567
baseball_equipment,object,568
campfire,object,569
bread,object,570
bread_dough,object,571
bubble,object,572
chef,object,573
dairy_product,object,574
snowsuit,object,575
curd,object,576
batter,object,577
cream,object,578
jewellery,object,579
bead,object,580
crystal,object,581
gemstone,object,582
cup,object,583
serveware,object,584
pizza,object,585
cake,object,586
pizza_cheese,object,587
pepperoni,object,588
oyster,object,589
appetizer,object,590
frost,object,591
steamed_rice,object,592
white_rice,object,593
bed_sheet,object,594
fireplace,object,595
hearth,object,596
baker,object,597
household_cleaning_supply,object,598
bedding,object,599
dairy_cow,object,600
cow_goat_family,object,601
vacuum_cleaner,object,602
swab,object,603
diaper,object,604
bucket,object,605
fitness_professional,object,606
edger,object,607
walk_behind_mower,object,608
teddy_bear,object,609
stuffed_toy,object,610
agaric,object,611
mushroom,object,612
aquatic_plant,object,613
vascular_plant,object,614
fungus,object,615
edible_mushroom,object,616
matsutake,object,617
bolete,object,618
agaricomycetes,object,619
agaricaceae,object,620
toe,object,621
spokesperson,object,622
white_collar_worker,object,623
anchor,object,624
businessperson,object,625
christmas_decoration,object,626
christmas_tree,object,627
home_door,object,628
refrigerator,object,629
parachute,object,630
hang_glider,object,631
baggage,object,632
root_vegetable,object,633
potato,object,634
apple,object,635
fruit_tree,object,636
tooth,object,637
boot,object,638
agriculturist,object,639
farmworker,object,640
gardener,object,641
shrub,object,642
shovel,object,643
date_palm,object,644
pine_family,object,645
garmon,object,646
button_accordion,object,647
diatonic_button_accordion,object,648
accordionist,object,649
bandoneon,object,650
racket,object,651
tennis_equipment_and_supplies,object,652
squash,object,653
screen,object,654
emblem,object,655
sedan,object,656
electrical_supply,object,657
overhead_power_line,object,658
acoustic_guitar,object,659
guitar_accessory,object,660
electric_guitar,object,661
pawn,object,662
bass_fiddle,object,663
queen,object,664
cor_anglais,object,665
bass_oboe,object,666
clarinet_family,object,667
clarinet,object,668
bass_drum,object,669
snare_drum,object,670
non_skin_percussion_instrument,object,671
percussion_accessory,object,672
banjo,object,673
drumhead,object,674
pipe,object,675
home_accessories,object,676
table_tennis_racket,object,677
collection,object,678
field_hockey_ball,object,679
lacrosse_stick,object,680
fashion_model,object,681
harmonica,object,682
sunglasses,object,683
cheerleader,object,684
hockey_protective_equipment,object,685
defenseman,object,686
passenger,object,687
konghou,object,688
harp,object,689
hockey_stick,object,690
bocce_ball,object,691
cuatro,object,692
mandolin,object,693
tiple,object,694
polo_pony,object,695
jockey,object,696
equestrian,object,697
polo_mallet,object,698
book,object,699
bookcase,object,700
whistle,object,701
unicyclist,object,702
puzzle,object,703
block,object,704
tennis_player,object,705
tennis_pro,object,706
volleyball_player,object,707
stomach,object,708
lead_pencil,object,709
knife,object,710
chest_of_drawers,object,711
distilled_beverage,object,712
bottle,object,713
whisky,object,714
bartender,object,715
alcoholic_beverage,object,716
beer,object,717
spinach,object,718
porcelain,object,719
spring_greens,object,720
bowl,object,721
flat_panel_display,object,722
teacher,object,723
hors_d_oeuvre,object,724
bell_peppers_and_chili_peppers,object,725
exercise_machine,object,726
full_size_car,object,727
performance_car,object,728
bumper,object,729
compact_car,object,730
vehicle_door,object,731
hood,object,732
steering_part,object,733
steering_wheel,object,734
car_seat,object,735
head_restraint,object,736
car_seat_cover,object,737
personal_computer,object,738
bicycle_saddle,object,739
toilet,object,740
washbasin,object,741
hair_accessory,object,742
bidet,object,743
sweater,object,744
ski_equipment,object,745
ski,object,746
ski_pole,object,747
snowshoe,object,748
ski_binding,object,749
aircraft,object,750
propeller,object,751
wing,object,752
pine,object,753
snowboard,object,754
snorkel,object,755
automotive_window_part,object,756
mirror,object,757
flower_bouquet,object,758
bathtub,object,759
sea_ice,object,760
sandbox,object,761
seat_belt,object,762
drawer,object,763
skiff,object,764
wetsuit,object,765
sea_kayak,object,766
kayak,object,767
rope,object,768
black_cat,object,769
wrestling_singlet,object,770
wrestling_mat,object,771
spinning_wheel,object,772
square_dancer,object,773
machine_tool,object,774
figurine,object,775
flowerpot,object,776
flowering_plant,object,777
houseplant,object,778
watering_can,object,779
bow_and_arrow,object,780
chain,object,781
baby_carrier,object,782
baby_buggy,object,783
hard_hat,object,784
wedding_ring,object,785
cookies_and_crackers,object,786
camel,object,787
arabian_camel,object,788
indian_elephant,object,789
african_elephant,object,790
elephant,object,791
grocer,object,792
playground_slide,object,793
figure_skater,object,794
egg,object,795
egg_yolk,object,796
yolk,object,797
calf,object,798
horn,object,799
ox,object,800
stall,object,801
shopkeeper,object,802
beam,object,803
scaffolding,object,804
composite_material,object,805
cravat,object,806
dining_table,object,807
physical_therapist,object,808
therapist,object,809
heel,object,810
ligament,object,811
sushi,object,812
rice,object,813
sashimi,object,814
pan,object,815
aqualung,object,816
platter,object,817
plate,object,818
window_covering,object,819
tongue,object,820
cash_machine,object,821
power_drill,object,822
drill,object,823
lathe,object,824
metal_lathe,object,825
scooter,object,826
racer,object,827
stock_car,object,828
race_car,object,829
fan,object,830
backseat,object,831
sewing_machine_needle,object,832
toy_box,object,833
nail_polish,object,834
wedding_dress,object,835
gown,object,836
bride,object,837
curtain,object,838
spoke,object,839
car_tire,object,840
newspaper,object,841
serger,object,842
saddle,object,843
horseman,object,844
sport_utility_vehicle,object,845
hedge,object,846
spitz,object,847
samoyed,object,848
west_highland_white_terrier,object,849
pungsan_dog,object,850
outdoor_furniture,object,851
fur_clothing,object,852
wire_fencing,object,853
stemware,object,854
red_wine,object,855
wine_glass,object,856
wine,object,857
champagne,object,858
liquor_shelf,object,859
mat,object,860
briefs,object,861
outdoor_grill,object,862
dustpan,object,863
grape,object,864
grapevine_family,object,865
leotard,object,866
musher,object,867
sled_dog,object,868
dog_sled,object,869
shed,object,870
bumper_car,object,871
sleeper,object,872
tudung,object,873
stunt_performer,object,874
fir,object,875
handrail,object,876
sports_uniform,object,877
banner,object,878
bathing_cap,object,879
broom,object,880
sauces,object,881
yacht,object,882
scow,object,883
kielbasa,object,884
rolling_pin,object,885
bedrock,object,886
boulder,object,887
snow_thrower,object,888
snowplow,object,889
rotisserie,object,890
sports_car,object,891
scarf,object,892
labrador_retriever,object,893
track_spikes,object,894
water_ski,object,895
vizsla,object,896
hunting_dog,object,897
loom,object,898
bassinet,object,899
infant_bed,object,900
giraffe,object,901
fountain,object,902
compound_microscope,object,903
microscope,object,904
optical_instrument,object,905
light_microscope,object,906
scientific_instrument,object,907
barware,object,908
carton,object,909
laptop,object,910
mobile_device,object,911
smartphone,object,912
feature_phone,object,913
amusement_ride,object,914
toppings,object,915
chocolate_cake,object,916
chocolate,object,917
flourless_chocolate_cake,object,918
whipped_cream,object,919
baseball_bat,object,920
baseball_player,object,921
strainer,object,922
colander,object,923
cutlery,object,924
mixing_bowl,object,925
carriage,object,926
swing,object,927
crossword_puzzle,object,928
brush,object,929
barrow,object,930
palm_tree,object,931
tent,object,932
gymnast,object,933
lineman,object,934
juice,object,935
personal_digital_assistant,object,936
portable_communications_device,object,937
groundcover,object,938
bathroom_sink,object,939
underpants,object,940
toothbrush,object,941
sport_kite,object,942
metalsmith,object,943
welder,object,944
blacksmith,object,945
camera_accessory,object,946
seabird,object,947
comforter,object,948
drinking_water,object,949
air_bubble,object,950
fence,object,951
medical_glove,object,952
label,object,953
uneven_parallel_bars,object,954
dip,object,955
coffee_table,object,956
fork,object,957
whales_dolphins_and_porpoises,object,958
sailing_ship,object,959
dhow,object,960
ship,object,961
roller_skates,object,962
charcoal,object,963
minivan,object,964
van,object,965
compact_van,object,966
gate,object,967
pickup_truck,object,968
medical_assistant,object,969
shelf,object,970
scaled_reptile,object,971
reptile,object,972
boas,object,973
serpent,object,974
boa_constrictor,object,975
snake,object,976
cricket_bat,object,977
runner,object,978
german_shepherd_dog,object,979
sand_wedge,object,980
broccoli,object,981
ring,object,982
artifact,object,983
koi,object,984
goldfish,object,985
aquarium,object,986
firefighter,object,987
singlet,object,988
annual_plant,object,989
cabinetry,object,990
sugar_paste,object,991
buttercream,object,992
fondant,object,993
birthday_cake,object,994
icing,object,995
torte,object,996
wig,object,997
exhaust_system,object,998
pencil,object,999
jigsaw_puzzle,object,1000
christmas_lights,object,1001
broth,object,1002
soup,object,1003
coin,object,1004
bonfire,object,1005
pinscher,object,1006
knackwurst,object,1007
sketch,object,1008
fried_egg,object,1009
ladder,object,1010
urinal,object,1011
sneakers,object,1012
athletic_shoe,object,1013
walking_shoe,object,1014
scale_model,object,1015
play_vehicle,object,1016
charcuterie,object,1017
car_wheel,object,1018
automotive_exhaust,object,1019
automotive_engine_part,object,1020
engine,object,1021
gearshift,object,1022
guard_dog,object,1023
american_pit_bull_terrier,object,1024
whippet,object,1025
foil,object,1026
fishing_rod,object,1027
oars,object,1028
paddle,object,1029
harvester,object,1030
bullfighter,object,1031
watercolor_paint,object,1032
candle,object,1033
hoodie,object,1034
beehive,object,1035
bee,object,1036
beekeeper,object,1037
bubble_gum,object,1038
wiper,object,1039
coverall,object,1040
honey_bee,object,1041
membrane_winged_insect,object,1042
honeycomb,object,1043
insect,object,1044
invertebrate,object,1045
action_figure,object,1046
cookie,object,1047
chocolate_chip_cookie,object,1048
biscuit,object,1049
central_processing_unit,object,1050
computer_hardware,object,1051
computer_cooling,object,1052
motherboard,object,1053
computer_component,object,1054
computer_case,object,1055
petal,object,1056
rose,object,1057
rose_family,object,1058
cut_flowers,object,1059
center_console,object,1060
aerialist,object,1061
crocodile,object,1062
crocodilia,object,1063
alligator,object,1064
goggles,object,1065
american_alligator,object,1066
cold_weapon,object,1067
pig_like_mammal,object,1068
gauge,object,1069
archer,object,1070
bouquet,object,1071
cable,object,1072
computer_accessory,object,1073
roast_beef,object,1074
steak,object,1075
bikini,object,1076
parallel_bars,object,1077
drinker,object,1078
circus_acrobat,object,1079
trapeze,object,1080
belay_device,object,1081
shaving_cream,object,1082
chest_hair,object,1083
retriever,object,1084
vintage_car,object,1085
off_road_vehicle,object,1086
baby_toys,object,1087
researcher,object,1088
data_storage_device,object,1089
tabby_cat,object,1090
torch,object,1091
bassist,object,1092
bass,object,1093
fiddle,object,1094
chip,object,1095
academic_dress,object,1096
balance_beam,object,1097
blender,object,1098
mixer,object,1099
food_processor,object,1100
pomeranian,object,1101
maltese,object,1102
german_spitz,object,1103
golf_ball,object,1104
schnoodle,object,1105
terrier,object,1106
golden_retriever,object,1107
polo_shirt,object,1108
flag,object,1109
flag_of_the_united_states,object,1110
ivy,object,1111
bandage,object,1112
glove,object,1113
fishing_lure,object,1114
bait,object,1115
basket,object,1116
hybrid_bicycle,object,1117
racing_bicycle,object,1118
neon_lamp,object,1119
water_bird,object,1120
fencing_sword,object,1121
epee,object,1122
fencing_weapon,object,1123
safety_bicycle,object,1124
leggings,object,1125
bony_fish,object,1126
fish_feeder,object,1127
litter,object,1128
carbonara,object,1129
taglierini,object,1130
noodle,object,1131
spaghetti,object,1132
backboard,object,1133
bin,object,1134
executive_car,object,1135
supercar,object,1136
windshield_wiper,object,1137
pontoon,object,1138
paving,object,1139
dumbbell,object,1140
spruce,object,1141
bus,object,1142
traffic_cop,object,1143
ballet_dancer,object,1144
shih_tzu,object,1145
stairs,object,1146
cookie_sheet,object,1147
stew,object,1148
clams_oysters_mussels_and_scallops,object,1149
clam,object,1150
frying_pan,object,1151
sash_window,object,1152
gas_ring,object,1153
microwave_oven,object,1154
comb,object,1155
rock_climbing_equipment,object,1156
craftsman,object,1157
radial,object,1158
mechanic,object,1159
winter_squash,object,1160
artificial_turf,object,1161
iceberg,object,1162
fisherman,object,1163
nib,object,1164
fountain_pen,object,1165
trailer,object,1166
display_case,object,1167
trampoline,object,1168
printer,object,1169
saw,object,1170
customer,object,1171
spume,object,1172
flagstone,object,1173
brassiere,object,1174
skewer,object,1175
brochette,object,1176
yakitori,object,1177
miniature_poodle,object,1178
poodle,object,1179
disk_jockey,object,1180
griddle,object,1181
bicycle_handlebar,object,1182
wrist,object,1183
centrepiece,object,1184
vase,object,1185
picnic_boat,object,1186
garbage_heap,object,1187
canoe,object,1188
condiment,object,1189
pebble,object,1190
blood,object,1191
cheerleading_uniform,object,1192
salmon,object,1193
bayonne_ham,object,1194
blackboard,object,1195
bowling_equipment,object,1196
birch,object,1197
medical_equipment,object,1198
flush_toilet,object,1199
finger_paint,object,1200
window_treatment,object,1201
climbing_frame,object,1202
gas_burner,object,1203
parsley,object,1204
pothole,object,1205
beanie,object,1206
ice_lolly,object,1207
ice_cream,object,1208
ice_cream_cone,object,1209
miler,object,1210
spoon,object,1211
cupboard,object,1212
hubcap,object,1213
caricaturist,object,1214
moped,object,1215
padlock,object,1216
cruciferous_vegetables,object,1217
duck,object,1218
coffee,object,1219
bean,object,1220
mountaineer,object,1221
commercial_vehicle,object,1222
minibus,object,1223
green_algae,object,1224
kisser,object,1225
glider,object,1226
pliers,object,1227
necklace,object,1228
bracelet,object,1229
bicycle_helmet,object,1230
kitchen_knife,object,1231
trowel,object,1232
electronic_signage,object,1233
door_handle,object,1234
blouse,object,1235
photocopier,object,1236
duplicator,object,1237
scanner,object,1238
output_device,object,1239
jointer,object,1240
wildlife_biologist,object,1241
acoustic_electric_guitar,object,1242
fret,object,1243
maraca,object,1244
lute,object,1245
firearm,object,1246
electric_organ,object,1247
organ_pipe,object,1248
farm_machine,object,1249
sarong,object,1250
tennis_racket,object,1251
saxhorn,object,1252
concert_grand,object,1253
xylophone,object,1254
vibraphone,object,1255
beer_cocktail,object,1256
cocktail_garnish,object,1257
cocktail,object,1258
non_alcoholic_beverage,object,1259
led_backlit_lcd_display,object,1260
lcd_tv,object,1261
tomato,object,1262
garnish,object,1263
melee_weapon,object,1264
fuel,object,1265
gas_pump,object,1266
siberian_husky,object,1267
greenland_dog,object,1268
knit_cap,object,1269
hospital_bed,object,1270
sloop,object,1271
truck,object,1272
forklift_truck,object,1273
tomahawk,object,1274
motorized_wheelchair,object,1275
donkey,object,1276
mule,object,1277
