Tag,Category,Label
meadow,scene,0
backyard,scene,1
garden,scene,2
yard,scene,3
stage,scene,4
musical_theatre,scene,5
field,scene,6
sky,scene,7
pasture,scene,8
grassland,scene,9
park,scene,10
landscape,scene,11
casino,scene,12
floor,scene,13
nightclub,scene,14
piste,scene,15
mountainous_landforms,scene,16
mountain,scene,17
hill,scene,18
snow_covered_landscape,scene,19
highland,scene,20
mountain_range,scene,21
forest,scene,22
bar,scene,23
restaurant,scene,24
chapel,scene,25
path,scene,26
theatre,scene,27
road,scene,28
street,scene,29
coast,scene,30
coastal_and_oceanic_landforms,scene,31
home,scene,32
property,scene,33
land_lot,scene,34
natural_resources,scene,35
room,scene,36
race_track,scene,37
stadium,scene,38
sport_venue,scene,39
arena,scene,40
house,scene,41
sea,scene,42
leisure_centre,scene,43
swimming_pool,scene,44
building,scene,45
residential_area,scene,46
estate,scene,47
grove,scene,48
barbershop,scene,49
lane,scene,50
track,scene,51
bowling_alley,scene,52
beauty_salon,scene,53
body_of_water,scene,54
beach,scene,55
river,scene,56
bank,scene,57
watercourse,scene,58
waterway,scene,59
bullring,scene,60
formation,scene,61
plain,scene,62
function_hall,scene,63
playground,scene,64
butcher_shop,scene,65
gym,scene,66
walkway,scene,67
stream,scene,68
creek,scene,69
nature_reserve,scene,70
riparian_zone,scene,71
ice_rink,scene,72
hotel_room,scene,73
bedroom,scene,74
hotel,scene,75
basketball_court,scene,76
office,scene,77
public_space,scene,78
school,scene,79
terrain,scene,80
shore,scene,81
aeolian_landform,scene,82
dune,scene,83
ecoregion,scene,84
sidewalk,scene,85
dock,scene,86
marina,scene,87
living_room,scene,88
coral_reef,scene,89
reef,scene,90
zoo,scene,91
kitchen,scene,92
golf_course,scene,93
auditorium,scene,94
tennis_court,scene,95
rural_area,scene,96
football_stadium,scene,97
field_lacrosse,scene,98
horizon,scene,99
lake,scene,100
resort,scene,101
boutique,scene,102
shopping_mall,scene,103
retail,scene,104
supermarket,scene,105
aisle,scene,106
grocery_store,scene,107
music_venue,scene,108
parking,scene,109
farm,scene,110
hall,scene,111
market,scene,112
dining_room,scene,113
ice_hockey_position,scene,114
ice_hockey_rink,scene,115
haze,scene,116
ranch,scene,117
kindergarten,scene,118
tourist_attraction,scene,119
laboratory,scene,120
boxing_ring,scene,121
bathroom,scene,122
religious_institute,scene,123
headland,scene,124
bridge,scene,125
reservoir,scene,126
desert,scene,127
national_park,scene,128
wildlife_region,scene,129
amusement_park,scene,130
deck,scene,131
ballroom,scene,132
factory,scene,133
warehouse,scene,134
toolroom,scene,135
town,scene,136
neighbourhood,scene,137
workshop,scene,138
escarpment,scene,139
bay,scene,140
attic,scene,141
basement,scene,142
batting_cage,scene,143
ski_slope,scene,144
pond,scene,145
wetland,scene,146
massif,scene,147
ridge,scene,148
automobile_repair_shop,scene,149
outcrop,scene,150
cliff,scene,151
archaeological_site,scene,152
road_highway,scene,153
badlands,scene,154
skyscraper,scene,155
metropolitan_area,scene,156
place_of_worship,scene,157
landmark,scene,158
stable,scene,159
baseball_positions,scene,160
television_room,scene,161
garden_buildings,scene,162
clinic,scene,163
hospital,scene,164
day_nursery,scene,165
baseball_field,scene,166
sandbank,scene,167
fish_pond,scene,168
downtown,scene,169
urban_area,scene,170
restroom,scene,171
apiary,scene,172
log_cabin,scene,173
bakery,scene,174
waterfall,scene,175
fault,scene,176
inlet,scene,177
animal_shelter,scene,178
cave,scene,179
fluvial_landforms_of_streams,scene,180
sandbar,scene,181
boardwalk,scene,182
tropical_beach,scene,183
skyline,scene,184
cityscape,scene,185
tower_block,scene,186
barn,scene,187
garage,scene,188
suburb,scene,189
town_square,scene,190
tennis_camp,scene,191
tropics,scene,192
pedestrian_crossing,scene,193
intersection,scene,194
apartment,scene,195
condominium,scene,196
shack,scene,197
hot_spring,scene,198
summit,scene,199
panorama,scene,200
village,scene,201
shooting_range,scene,202
bayou,scene,203
tunnel,scene,204
cape,scene,205
patio,scene,206
courtyard,scene,207
plaza,scene,208
bazaar,scene,209
historic_site,scene,210
canyon,scene,211
swamp,scene,212
alley,scene,213
stream_bed,scene,214
arroyo,scene,215
foundry,scene,216
channel,scene,217
fire_department,scene,218
opera,scene,219
port,scene,220
marsh,scene,221
ballpark,scene,222
hut,scene,223
harbor,scene,224
meander,scene,225
performing_arts_center,scene,226
cocktail_lounge,scene,227
conference_hall,scene,228
concert_hall,scene,229
mountain_pass,scene,230
seashore,scene,231
carport,scene,232
fair,scene,233
tavern,scene,234
glacial_lake,scene,235
cockpit,scene,236
palace,scene,237
valley,scene,238
lecture_room,scene,239
plateau,scene,240
urban_design,scene,241
pavilion,scene,242
seaside,scene,243
riverbed,scene,244
paddy_field,scene,245
littoral,scene,246
strand,scene,247
