original_filename,Label,tag
---0dWlqevI_000000_000010.mp4,556,clay_pottery_making
---aQ-tA5_A_000008_000018.mp4,283,news_anchoring
---j12rm3WI_000014_000024.mp4,451,using_bagging_machine
--0NTAs-fA0_000000_000010.mp4,618|154|308|106|3,climbing_a_rope|strength_training|gymnastics|physical_exercise|recreation
--3OAstUWtU_000045_000055.mp4,108,tickling
--3lTx87ebQ_000022_000032.mp4,3|10|390,recreation|standing|watering_plants
--4NLFGNfAs_000011_000021.mp4,66|137,calligraphy|drawing
--5kVeU1uco_000046_000056.mp4,562|610,chiseling_stone|stone_carving
--5urtlw6gs_000049_000059.mp4,122|15,crossing_eyes|smile
--65_UAU7ao_000000_000010.mp4,106|279,physical_exercise|mountain_climber_exercise_
--6XapylEsA_000046_000056.mp4,347|3,playing_with_trains|recreation
--6zxbYq5M4_000039_000049.mp4,302,planing_wood
--9JDn2oaEw_10.0_12.0.mp4,3|686,recreation|hitting_a_pinata
--9N3YdTOIM_39.0_41.0.mp4,3|683,recreation|baton_twirling
--9N3YdTOIM_80.0_82.0.mp4,3|167|683|65,recreation|choreography|baton_twirling|figure_skating
--9bF32cD6M_000584_000594.mp4,106|206|10,physical_exercise|lunge|standing
--9zAxIOlbo_000008_000018.mp4,34,playing_pinball
--AC9Wionlg_000000_000010.mp4,588,delivering_mail
--CNAjJZhNY_000009_000019.mp4,418,raising_eyebrows
--DDIxyAwIk_6.0_8.0.mp4,705|3,doing_a_powerbomb|recreation
--DiygSPius_000050_000060.mp4,3|191|643,recreation|cycling|riding_a_bike
--Dt5ovTecs_000000_000010.mp4,66|95|137,calligraphy|writing|drawing
--E8kQc4oeE_000281_000291.mp4,15|601,smile|blowdrying_hair
--EBe_f-A40_000000_000010.mp4,2|87|3|10,photograph|playing_didgeridoo|recreation|standing
--EZD1uEVhM_000062_000072.mp4,415,putting_in_contact_lenses
--FTpoPhxcA_000419_000429.mp4,359,shaving_head
--GEr5-PyTI_000000_000010.mp4,199|542|3,learning|doing_jigsaw_puzzle|recreation
--GaSxELz-8_000039_000049.mp4,347,playing_with_trains
--H6ZFJXDq4_6.5_8.5.mp4,3|686,recreation|hitting_a_pinata
--JBrgsW5UI_26.5_28.5.mp4,681|3,layup_drill_in_basketball|recreation
--JGqNj9Bv0_000000_000010.mp4,388,washing_hair
--KkHPoWdW8_000025_000035.mp4,441,opening_bottle_not_wine_
--LrHkjbax8_000001_000011.mp4,122,crossing_eyes
--NHecesx-0_000002_000012.mp4,589|3|10,abseiling|recreation|standing
--NL-GP04Ls_179.5_181.5.mp4,3|686,recreation|hitting_a_pinata
--Nixnc9DQg_000017_000027.mp4,264|3|10,making_balloon_shapes|recreation|standing
--O2qCO6zBI_000025_000035.mp4,352,pouring_beer
--O4p15yejk_000350_000360.mp4,353,preparing_salad
--QG-bjOFSA_000000_000010.mp4,2|3|607,photograph|recreation|wading_through_water
--QfWXBoeA0_000084_000094.mp4,164,cutting_watermelon
--Qq8Y0ywHA_000002_000012.mp4,300,petting_cat
--RN6XH2x8k_141.0_143.0.mp4,150|675|500,cooking|making_an_omelette|frying
--RtHwqbEWA_000081_000091.mp4,106|543|45|3|167|10,physical_exercise|doing_aerobics|dance|recreation|choreography|standing
--RuMpNXawk_000277_000287.mp4,440,sausage_making
--SSk3r84yw_000000_000010.mp4,469,throwing_knife
--TgcS0No3k_000001_000011.mp4,429,separating_eggs
--U3pqp_C5g_000120_000130.mp4,219,head_stand
--VtCsmlD18_000047_000057.mp4,407|3|21,throwing_water_balloon|recreation|outdoor_recreation
--XQ47BGhdc_000045_000055.mp4,283|19,news_anchoring|public_speaking
--XR9XONO2U_000221_000231.mp4,2|285,photograph|opening_present
--YKMD5LYtw_000073_000083.mp4,148,chopping_meat
--YTcBEbn_s_000000_000010.mp4,86,folding_clothes
--YXAAC0WWA_000035_000045.mp4,4|40,sitting|making_paper_aeroplanes
--Z5dqN2hKY_81.5_83.5.mp4,680|109|3,playing_water_polo|swimming|recreation
--ZrYtRjYfs_000084_000094.mp4,86,folding_clothes
--_-T3-Qvg4_34.5_36.5.mp4,690|3,table_soccer|recreation
--_-T3-Qvg4_45.5_47.5.mp4,690|3,table_soccer|recreation
--_-T3-Qvg4_60.0_62.0.mp4,690,table_soccer
--_3Wbv-1YY_000319_000329.mp4,34|15,playing_pinball|smile
--_fOePZDoY_000033_000043.mp4,564,changing_gear_in_car
--_oZL56SVA_000140_000150.mp4,192,lighting_fire
--ayR6l14VQ_42.5_44.5.mp4,3|692,recreation|beach_soccer
--bQb-k_Tjs_000009_000019.mp4,106|10|454,physical_exercise|standing|vacuuming_floor
--bsBWWySaQ_24.0_26.0.mp4,701|3,disc_dog|recreation
--bsBWWySaQ_50.0_52.0.mp4,701|3,disc_dog|recreation
--cIG2WqOf4_000000_000010.mp4,497,shuffling_feet
--cLZr4EsEk_000133_000143.mp4,43,recording_music
--cOOZbreL4_000111_000121.mp4,222|3|636,historical_reenactment|recreation|shooting
--cYQ0Ag2D8_000000_000010.mp4,609,leatherworking
--d6UCSGoHg_000043_000053.mp4,319|24,playing_drums|percussion
--fVtVit6SI_000000_000010.mp4,128|631|10,ball_game|kicking_field_goal|standing
--g9CJ6MWTE_000000_000010.mp4,492|4,smelling_feet|sitting
--gMWIQlLvs_000122_000132.mp4,192,lighting_fire
--gdlZhyZcg_000001_000011.mp4,163|3|10,curling_sport_|recreation|standing
--gtKHP3Q8E_000000_000010.mp4,539,eating_cake
--gwXkVlrUY_139.0_141.0.mp4,689|3,doing_kickboxing|recreation
--hZSQ7Q7qs_000140_000150.mp4,66|95,calligraphy|writing
--i8Hiv5H4o_39.0_41.0.mp4,3|115|670,recreation|jumping|powerbocking
--i8Hiv5H4o_44.0_46.0.mp4,191|3|670,cycling|recreation|powerbocking
--i8Hiv5H4o_84.5_86.5.mp4,3|670,recreation|powerbocking
--iGd5Zf7-k_000005_000015.mp4,148,chopping_meat
--iIcadFu9c_000090_000100.mp4,576,bee_keeping
--ijHZ19K_M_000022_000032.mp4,549,cutting_apple
--ixUOhZodk_000056_000066.mp4,166|172,eating|drooling
--jDtmT7ijg_1.5_3.5.mp4,702|3,river_tubing|recreation
--jDtmT7ijg_20.5_22.5.mp4,104|702|3,boating|river_tubing|recreation
--jDtmT7ijg_9.0_11.0.mp4,702|3,river_tubing|recreation
--jfcGztatc_000006_000016.mp4,596,archaeological_excavation
--jktjgj81k_000000_000010.mp4,617|4,clapping|sitting
--lmBtwsdBc_000000_000010.mp4,431,visiting_the_zoo
--loSjz82iU_000083_000093.mp4,439|232,marriage_proposal|kissing
--lvipPLwp0_000000_000010.mp4,184|10,egg_hunting|standing
--mBL7P45yE_000394_000404.mp4,307,planting_trees
--mLOzFpQoo_000004_000014.mp4,337,playing_ping_pong
--mTlk9ommA_000047_000057.mp4,128|153|3|592|10,ball_game|sports_training|recreation|dribbling_basketball|standing
--nosQjor8k_7.0_9.0.mp4,674,plataform_diving
--oC9hBSmGs_000000_000010.mp4,165|182,cutting_nails|sleeping
--oGGqMZmAA_000000_000010.mp4,10|154|600,standing|strength_training|battle_rope_training
--otNzh-C1Q_000020_000030.mp4,258,looking_at_phone
--p_fzlOmSo_000037_000047.mp4,15|7,smile|playing_flute
--pwwUIq5R0_11.0_13.0.mp4,658|340,calf_roping|rodeo
--qyQNsbPnA_000154_000164.mp4,2|4|343,photograph|sitting|playing_scrabble
--rSKL-i6qQ_000015_000025.mp4,322|24,playing_gong|percussion
--sCqFa_j-A_000197_000207.mp4,193,lock_picking
--unzJlMpeM_000047_000057.mp4,348,poking_bellybutton
--uqWcqI1kY_000066_000076.mp4,93,shearing_sheep
--vWkSa7Po8_000067_000077.mp4,633|634,photocopying|print
--veKG73Di4_105.0_107.0.mp4,3|678|24,recreation|playing_congas|percussion
--veKG73Di4_110.0_112.0.mp4,667|678|24,marching_percussion|playing_congas|percussion
--veKG73Di4_59.5_61.5.mp4,678|24,playing_congas|percussion
--veKG73Di4_64.0_66.0.mp4,3|678|24,recreation|playing_congas|percussion
--wPB1D20NE_000236_000246.mp4,4|563,sitting|changing_wheel_not_on_bike_
--xtMMzsKgM_000016_000026.mp4,193,lock_picking
--zQjc3cT3s_15.5_17.5.mp4,667|678|24,marching_percussion|playing_congas|percussion
-0-5DjKqC-I_55.0_57.0.mp4,667|678|24,marching_percussion|playing_congas|percussion
-0-SOVRaw9Q_000075_000085.mp4,128|328|10,ball_game|playing_kickball|standing
