original_filename,Label,tag
---0dWlqevI_000000_000010.mp4,59,ceramic
--0NTAs-fA0_000000_000010.mp4,0|2,fun|leisure
--3OAstUWtU_000045_000055.mp4,22,black_hair
--3lTx87ebQ_000022_000032.mp4,2,leisure
--5kVeU1uco_000046_000056.mp4,11,concrete
--5urtlw6gs_000049_000059.mp4,0|33,fun|barechestedness
--65_UAU7ao_000000_000010.mp4,0|1,fun|beauty
--6XapylEsA_000046_000056.mp4,2,leisure
--6zxbYq5M4_000039_000049.mp4,9,wood
--9JDn2oaEw_10.0_12.0.mp4,2,leisure
--9N3YdTOIM_39.0_41.0.mp4,0|2,fun|leisure
--9bF32cD6M_000584_000594.mp4,6,black
--9zAxIOlbo_000008_000018.mp4,5,darkness
--CNAjJZhNY_000009_000019.mp4,3,human_hair_color
--DDIxyAwIk_6.0_8.0.mp4,2,leisure
--DiygSPius_000050_000060.mp4,28,asphalt
--E8kQc4oeE_000281_000291.mp4,7|1|81|22|56|3,long_hair|beauty|bangs|black_hair|brown_hair|human_hair_color
--EBe_f-A40_000000_000010.mp4,13|0,daytime|fun
--EZD1uEVhM_000062_000072.mp4,3|22,human_hair_color|black_hair
--FTpoPhxcA_000419_000429.mp4,0|22|33|3,fun|black_hair|barechestedness|human_hair_color
--GEr5-PyTI_000000_000010.mp4,0,fun
--GaSxELz-8_000039_000049.mp4,24|2,pink|leisure
--H6ZFJXDq4_6.5_8.5.mp4,0|5,fun|darkness
--JBrgsW5UI_26.5_28.5.mp4,2,leisure
--KkHPoWdW8_000025_000035.mp4,0,fun
--NHecesx-0_000002_000012.mp4,0,fun
--NL-GP04Ls_179.5_181.5.mp4,13|41|0|2,daytime|youth|fun|leisure
--Nixnc9DQg_000017_000027.mp4,13|0,daytime|fun
--QG-bjOFSA_000000_000010.mp4,0|2,fun|leisure
--Qq8Y0ywHA_000002_000012.mp4,5,darkness
--RN6XH2x8k_141.0_143.0.mp4,58,boiling
--RtHwqbEWA_000081_000091.mp4,0|2,fun|leisure
--SSk3r84yw_000000_000010.mp4,9,wood
--U3pqp_C5g_000120_000130.mp4,0|6,fun|black
--VtCsmlD18_000047_000057.mp4,13|0|2,daytime|fun|leisure
--XR9XONO2U_000221_000231.mp4,0|3,fun|human_hair_color
--YTcBEbn_s_000000_000010.mp4,25|26|12,electric_blue|cobalt_blue|blue
