original_filename,Label,tag
---aQ-tA5_A_000008_000018.mp4,162,television_program
---j12rm3WI_000014_000024.mp4,208|198|2|3,industry|engineering|electronics|technology
--0NTAs-fA0_000000_000010.mp4,83|5|8,physical_fitness|sport|performance
--3lTx87ebQ_000022_000032.mp4,9|238,male|monochrome_photography
--4NLFGNfAs_000011_000021.mp4,111|12|11|19|14,visual_arts|close_up|art|font|design
--5kVeU1uco_000046_000056.mp4,66,rock
--5urtlw6gs_000049_000059.mp4,15|48|9,hairstyle|selfie|male
--65_UAU7ao_000000_000010.mp4,83,physical_fitness
--6XapylEsA_000046_000056.mp4,41|35,indoor_games_and_sports|games
--9N3YdTOIM_39.0_41.0.mp4,8|6|5|41|35,performance|performing_arts|sport|indoor_games_and_sports|games
--9N3YdTOIM_80.0_82.0.mp4,8|6|5|7|41|35|130,performance|performing_arts|sport|entertainment|indoor_games_and_sports|games|team_sport
--9bF32cD6M_000584_000594.mp4,83|10,physical_fitness|lighting
--9zAxIOlbo_000008_000018.mp4,7|10,entertainment|lighting
--AC9Wionlg_000000_000010.mp4,107,mode_of_transport
--CNAjJZhNY_000009_000019.mp4,12,close_up
--DiygSPius_000050_000060.mp4,130,team_sport
--Dt5ovTecs_000000_000010.mp4,75|53|11|19|14,handwriting|angle|art|font|design
--E8kQc4oeE_000281_000291.mp4,15,hairstyle
--EBe_f-A40_000000_000010.mp4,9|10,male|lighting
--EZD1uEVhM_000062_000072.mp4,15|48,hairstyle|selfie
--FTpoPhxcA_000419_000429.mp4,32|9,interaction|male
--GEr5-PyTI_000000_000010.mp4,41|35|14,indoor_games_and_sports|games|design
--GaSxELz-8_000039_000049.mp4,12,close_up
--H6ZFJXDq4_6.5_8.5.mp4,8|7,performance|entertainment
--JBrgsW5UI_26.5_28.5.mp4,5|41|35,sport|indoor_games_and_sports|games
--JGqNj9Bv0_000000_000010.mp4,49|12,service|close_up
--LrHkjbax8_000001_000011.mp4,12,close_up
--NHecesx-0_000002_000012.mp4,35,games
--NL-GP04Ls_179.5_181.5.mp4,122,people
--O2qCO6zBI_000025_000035.mp4,49|3,service|technology
--O4p15yejk_000350_000360.mp4,74|116|101,cuisine|vegetarian_food|recipe
--QG-bjOFSA_000000_000010.mp4,122|9,people|male
--QfWXBoeA0_000084_000094.mp4,124,local_food
--RN6XH2x8k_141.0_143.0.mp4,74|101,cuisine|recipe
--RtHwqbEWA_000081_000091.mp4,8|6|5|7|41|83,performance|performing_arts|sport|entertainment|indoor_games_and_sports|physical_fitness
--SSk3r84yw_000000_000010.mp4,51|91|79,plaster|real_estate|interior_design
--TgcS0No3k_000001_000011.mp4,100|116|74|101,mixture|vegetarian_food|cuisine|recipe
--U3pqp_C5g_000120_000130.mp4,83,physical_fitness
--VtCsmlD18_000047_000057.mp4,35,games
--XQ47BGhdc_000045_000055.mp4,63|192,official|business
--XR9XONO2U_000221_000231.mp4,15|16,hairstyle|human_behavior
--YKMD5LYtw_000073_000083.mp4,72|32|12|74,animal_source_foods|interaction|close_up|cuisine
--YTcBEbn_s_000000_000010.mp4,44,pattern
--YXAAC0WWA_000035_000045.mp4,16|14,human_behavior|design
--Z5dqN2hKY_81.5_83.5.mp4,87,water_sport
--ZrYtRjYfs_000084_000094.mp4,89|90,tartan|plaid
--_-T3-Qvg4_34.5_36.5.mp4,35|7,games|entertainment
--_-T3-Qvg4_60.0_62.0.mp4,10,lighting
--_3Wbv-1YY_000319_000329.mp4,35,games
--_fOePZDoY_000033_000043.mp4,120|107|39|40,land_vehicle|mode_of_transport|automotive_design|automotive_exterior
--_oZL56SVA_000140_000150.mp4,71,organism
--ayR6l14VQ_42.5_44.5.mp4,5|35,sport|games
--bQb-k_Tjs_000009_000019.mp4,83,physical_fitness
--bsBWWySaQ_50.0_52.0.mp4,5,sport
--cOOZbreL4_000111_000121.mp4,63|218,official|military_officer
--cYQ0Ag2D8_000000_000010.mp4,12,close_up
--d6UCSGoHg_000043_000053.mp4,1,music
--fVtVit6SI_000000_000010.mp4,35|82|5,games|wind|sport
--gMWIQlLvs_000122_000132.mp4,38,heat
--gdlZhyZcg_000001_000011.mp4,46,winter_sport
--gtKHP3Q8E_000000_000010.mp4,116|153|74,vegetarian_food|comfort_food|cuisine
--gwXkVlrUY_139.0_141.0.mp4,102|5|35|103|105|126,martial_arts|sport|games|striking_combat_sports|combat_sport|contact_sport
--hZSQ7Q7qs_000140_000150.mp4,75|12|19,handwriting|close_up|font
--i8Hiv5H4o_84.5_86.5.mp4,107,mode_of_transport
--iGd5Zf7-k_000005_000015.mp4,72,animal_source_foods
--iIcadFu9c_000090_000100.mp4,53|12,angle|close_up
--ijHZ19K_M_000022_000032.mp4,116|74,vegetarian_food|cuisine
--jDtmT7ijg_1.5_3.5.mp4,106,tourism
--jDtmT7ijg_20.5_22.5.mp4,149|106|87|81,watercraft|tourism|water_sport|water_transportation
--jDtmT7ijg_9.0_11.0.mp4,28|4|81,film|nature|water_transportation
--jfcGztatc_000006_000016.mp4,65|92,geology|ecosystem
--lmBtwsdBc_000000_000010.mp4,36|71|37|19,wildlife|organism|fauna|font
--loSjz82iU_000083_000093.mp4,32|40,interaction|automotive_exterior
--lvipPLwp0_000000_000010.mp4,123|122|9,family|people|male
--mBL7P45yE_000394_000404.mp4,187|188,floristry|floral_design
--mLOzFpQoo_000004_000014.mp4,6|10|41,performing_arts|lighting|indoor_games_and_sports
--mTlk9ommA_000047_000057.mp4,35|83|76|5,games|physical_fitness|athletics|sport
--nosQjor8k_7.0_9.0.mp4,238|81,monochrome_photography|water_transportation
