original_filename,Label,tag
--9N3YdTOIM_39.0_41.0.mp4,12|43,competition|championship
--9N3YdTOIM_80.0_82.0.mp4,12,competition
--DDIxyAwIk_6.0_8.0.mp4,3,vacation
--EBe_f-A40_000000_000010.mp4,3,vacation
--H6ZFJXDq4_6.5_8.5.mp4,1,night
--JBrgsW5UI_26.5_28.5.mp4,12|41,competition|tournament
--NL-GP04Ls_179.5_181.5.mp4,34,festival
--QG-bjOFSA_000000_000010.mp4,3|0,vacation|summer
--VtCsmlD18_000047_000057.mp4,0|3,summer|vacation
--XQ47BGhdc_000045_000055.mp4,20,speech
--Z5dqN2hKY_81.5_83.5.mp4,12|3,competition|vacation
--_-T3-Qvg4_45.5_47.5.mp4,1,night
--ayR6l14VQ_42.5_44.5.mp4,12,competition
--bsBWWySaQ_24.0_26.0.mp4,12,competition
--bsBWWySaQ_50.0_52.0.mp4,12,competition
--gMWIQlLvs_000122_000132.mp4,1,night
--gdlZhyZcg_000001_000011.mp4,11,winter
--jDtmT7ijg_1.5_3.5.mp4,0|3,summer|vacation
--jDtmT7ijg_20.5_22.5.mp4,0|3,summer|vacation
--jktjgj81k_000000_000010.mp4,3|0,vacation|summer
--loSjz82iU_000083_000093.mp4,49,air_travel
--oC9hBSmGs_000000_000010.mp4,27,bedtime
--pwwUIq5R0_11.0_13.0.mp4,1|8,night|public_event
--rSKL-i6qQ_000015_000025.mp4,1|36,night|rock_concert
-068awYbAMo_000070_000080.mp4,20,speech
-0BpVQEChv8_2.0_4.0.mp4,11,winter
-0BpVQEChv8_5.5_7.5.mp4,11|7,winter|adventure
-0BpVQEChv8_8.5_10.5.mp4,11,winter
-0Db_ktMTtg_23.0_25.0.mp4,3|7,vacation|adventure
-0HgQ31lcNM_000013_000023.mp4,7,adventure
-0Llfq_N3P8_000041_000051.mp4,1,night
-0SjqzJKQOM_000014_000024.mp4,13,race
-0_-I3SnlOY_000041_000051.mp4,7,adventure
-0g3eQYArEg_000000_000010.mp4,49,air_travel
-0hijc1QF9M_16.0_18.0.mp4,12,competition
-0hijc1QF9M_33.5_35.5.mp4,12,competition
-0l0rX2564k_000016_000026.mp4,0,summer
-0pgwqEYYZE_000060_000070.mp4,7|3,adventure|vacation
-0tkkA6mm4Y_29.0_31.0.mp4,3,vacation
-0tkkA6mm4Y_67.5_69.5.mp4,0,summer
-0uI3UBQShA_114.5_116.5.mp4,1,night
-0yE57qKJFY_000018_000028.mp4,6,morning
-0zGo1-PIjs_000022_000032.mp4,30,lunch
-11PBE3gMto_000041_000051.mp4,11|7,winter|adventure
-1562OKwQw4_158.0_160.0.mp4,3,vacation
-165n2L_oCY_000032_000042.mp4,29,breakfast
-1BoHTozHck_000000_000010.mp4,3,vacation
-1EwnNsDNuw_000000_000010.mp4,27,bedtime
-1HSyfKBG_M_1.5_3.5.mp4,1,night
-1IW-o8YNY0_000013_000023.mp4,11|7,winter|adventure
-1L06tE9vL0_000037_000047.mp4,13|12,race|competition
-1NAV5z1tIs_39.0_41.0.mp4,11|7,winter|adventure
-1NAV5z1tIs_55.0_57.0.mp4,11|7,winter|adventure
-1Pe4dntZoE_000452_000462.mp4,3,vacation
-1UAS69nDfU_000003_000013.mp4,3,vacation
-1YPdxK5Qs8_000221_000231.mp4,50|6|7,flight|morning|adventure
-1drJuAKEV8_000147_000157.mp4,9,conversation
-1ex5GF36IU_73.0_75.0.mp4,30,lunch
-1h2UYmnrjA_000051_000061.mp4,30,lunch
-1jBDv2-JjY_000006_000016.mp4,6,morning
-1kBD9z_7Ho_000005_000015.mp4,1|8,night|public_event
-1kJQObmVAs_000018_000028.mp4,12,competition
-1mjzszNHCY_000013_000023.mp4,11,winter
