original_filename,Label,tag
---0dWlqevI_000000_000010.mp4,13,floor
---j12rm3WI_000014_000024.mp4,133|135,factory|toolroom
--0NTAs-fA0_000000_000010.mp4,36|66,room|gym
--3lTx87ebQ_000022_000032.mp4,1|3|2,backyard|yard|garden
--6XapylEsA_000046_000056.mp4,37|130|10,race_track|amusement_park|park
--9JDn2oaEw_10.0_12.0.mp4,2|3,garden|yard
--9N3YdTOIM_80.0_82.0.mp4,72|39,ice_rink|sport_venue
--9bF32cD6M_000584_000594.mp4,36|66|13,room|gym|floor
--AC9Wionlg_000000_000010.mp4,195|213|137|41|136|29|45|46|32|33|28,apartment|alley|neighbourhood|house|town|street|building|residential_area|home|property|road
--DiygSPius_000050_000060.mp4,28|26|67|50,road|path|walkway|lane
--H6ZFJXDq4_6.5_8.5.mp4,27,theatre
--JBrgsW5UI_26.5_28.5.mp4,43|39|76,leisure_centre|sport_venue|basketball_court
--NHecesx-0_000002_000012.mp4,39,sport_venue
--NL-GP04Ls_179.5_181.5.mp4,78,public_space
--QG-bjOFSA_000000_000010.mp4,55|81|42|35|54,beach|shore|sea|natural_resources|body_of_water
--SSk3r84yw_000000_000010.mp4,195|13|41|32|33|36,apartment|floor|house|home|property|room
--VtCsmlD18_000047_000057.mp4,78,public_space
--Z5dqN2hKY_81.5_83.5.mp4,101|43|44,resort|leisure_centre|swimming_pool
--bQb-k_Tjs_000009_000019.mp4,13,floor
--bsBWWySaQ_24.0_26.0.mp4,7|8|9|84,sky|pasture|grassland|ecoregion
--bsBWWySaQ_50.0_52.0.mp4,6|39|8|9|96,field|sport_venue|pasture|grassland|rural_area
--fVtVit6SI_000000_000010.mp4,7|0|39,sky|meadow|sport_venue
--gdlZhyZcg_000001_000011.mp4,72,ice_rink
--gwXkVlrUY_139.0_141.0.mp4,43|39,leisure_centre|sport_venue
--i8Hiv5H4o_44.0_46.0.mp4,50,lane
--iIcadFu9c_000090_000100.mp4,172,apiary
--jDtmT7ijg_1.5_3.5.mp4,7|35,sky|natural_resources
--jDtmT7ijg_20.5_22.5.mp4,7|42|35,sky|sea|natural_resources
--jDtmT7ijg_9.0_11.0.mp4,59|35|145,waterway|natural_resources|pond
--jfcGztatc_000006_000016.mp4,6|7|8|9|96|99|30|70|34|20|62|11,field|sky|pasture|grassland|rural_area|horizon|coast|nature_reserve|land_lot|highland|plain|landscape
--lmBtwsdBc_000000_000010.mp4,91,zoo
--lvipPLwp0_000000_000010.mp4,1|2|3,backyard|garden|yard
--mBL7P45yE_000394_000404.mp4,2|3,garden|yard
--mLOzFpQoo_000004_000014.mp4,13|36,floor|room
--mTlk9ommA_000047_000057.mp4,39,sport_venue
--nosQjor8k_7.0_9.0.mp4,86,dock
--oGGqMZmAA_000000_000010.mp4,66|36,gym|room
--pwwUIq5R0_11.0_13.0.mp4,7|117|40|11,sky|ranch|arena|landscape
--rSKL-i6qQ_000015_000025.mp4,4,stage
-0-SOVRaw9Q_000075_000085.mp4,33|46|39|11,property|residential_area|sport_venue|landscape
-05faw86Ljo_70.0_72.0.mp4,66,gym
-06VQYu3JkE_000023_000033.mp4,6,field
-08htmnKcug_000074_000084.mp4,93,golf_course
-0BpVQEChv8_2.0_4.0.mp4,7|17|59|35|21,sky|mountain|waterway|natural_resources|mountain_range
-0BpVQEChv8_5.5_7.5.mp4,80|7|56|19|100|21,terrain|sky|river|snow_covered_landscape|lake|mountain_range
-0BpVQEChv8_8.5_10.5.mp4,7|19|35,sky|snow_covered_landscape|natural_resources
-0Fwkoyy2GI_000105_000115.mp4,37,race_track
-0HOXzejQVw_000018_000028.mp4,137|136|29|28,neighbourhood|town|street|road
-0JfH0QLg1M_000152_000162.mp4,32|11|33,home|landscape|property
-0O1t6CF8aM_1.5_3.5.mp4,7|34|9,sky|land_lot|grassland
-0O1t6CF8aM_11.0_13.0.mp4,7|34|6|110|9,sky|land_lot|field|farm|grassland
-0O1t6CF8aM_15.0_17.0.mp4,7|34,sky|land_lot
-0O1t6CF8aM_36.0_38.0.mp4,7|34|0|3,sky|land_lot|meadow|yard
-0O7bTV_v7Q_21.5_23.5.mp4,13|36,floor|room
-0SjqzJKQOM_000014_000024.mp4,37|7,race_track|sky
-0TewuHEBe8_000038_000048.mp4,7|67|28,sky|walkway|road
-0UhLeBCvHE_000036_000046.mp4,61|100|211|17|56|30|126|80|70|20|128|151|11,formation|lake|canyon|mountain|river|coast|reservoir|terrain|nature_reserve|highland|national_park|cliff|landscape
-0VIriroDbc_000078_000088.mp4,2,garden
-0_-I3SnlOY_000041_000051.mp4,7|55|83|127|11,sky|beach|dune|desert|landscape
-0_OtgdFNws_72.5_74.5.mp4,6|1|3,field|backyard|yard
-0cwhOAsODg_000000_000010.mp4,36,room
-0dm6YN4aYA_34.5_36.5.mp4,7,sky
-0dm6YN4aYA_75.0_77.0.mp4,78|45|29,public_space|building|street
-0dm6YN4aYA_78.5_80.5.mp4,7,sky
-0fGG7pCn7M_000135_000145.mp4,28,road
-0fgJPN0quo_000000_000010.mp4,13|36,floor|room
-0hijc1QF9M_16.0_18.0.mp4,13|39,floor|sport_venue
-0hijc1QF9M_33.5_35.5.mp4,40|39,arena|sport_venue
-0hijc1QF9M_52.0_54.0.mp4,40|39,arena|sport_venue
-0l0rX2564k_000016_000026.mp4,64,playground
-0pMQbEe8Po_000004_000014.mp4,7|16|148|17|154|139|80|18|151|11,sky|mountainous_landforms|ridge|mountain|badlands|escarpment|terrain|hill|cliff|landscape
-0pYl0OE4Fo_000231_000241.mp4,70|34|6|9|0,nature_reserve|land_lot|field|grassland|meadow
-0pgwqEYYZE_000060_000070.mp4,7|42,sky|sea
-0tftZyvJZI_000098_000108.mp4,38|39,stadium|sport_venue
-0tkkA6mm4Y_29.0_31.0.mp4,64|78,playground|public_space
-0tkkA6mm4Y_49.5_51.5.mp4,64|78,playground|public_space
-0tkkA6mm4Y_67.5_69.5.mp4,64|10,playground|park
-0tkkA6mm4Y_9.5_11.5.mp4,64|78|10|0,playground|public_space|park|meadow
-0uI3UBQShA_25.0_27.0.mp4,130|233,amusement_park|fair
-0uI3UBQShA_61.5_63.5.mp4,43|130|10,leisure_centre|amusement_park|park
-0uI3UBQShA_79.5_81.5.mp4,130|10,amusement_park|park
-0ugHU3ESvg_000001_000011.mp4,41|7|1|45|3,house|sky|backyard|building|yard
-0yE57qKJFY_000018_000028.mp4,7|56|42|99|35|100,sky|river|sea|horizon|natural_resources|lake
-11K3gyBtmI_19.0_21.0.mp4,41|78|11|33,house|public_space|landscape|property
-11PBE3gMto_000041_000051.mp4,19,snow_covered_landscape
-11fM_6gask_000686_000696.mp4,122,bathroom
-1562OKwQw4_158.0_160.0.mp4,7|44|59|35|33|119,sky|swimming_pool|waterway|natural_resources|property|tourist_attraction
-1562OKwQw4_229.5_231.5.mp4,7,sky
-161TxPabEQ_000037_000047.mp4,13,floor
-17SC7D_XuU_000000_000010.mp4,116,haze
-1BoHTozHck_000000_000010.mp4,145|56,pond|river
-1CnUk4O4bE_000000_000010.mp4,36|13,room|floor
-1FMlu902p0_000036_000046.mp4,13,floor
-1HSyfKBG_M_18.0_20.0.mp4,39,sport_venue
-1IW-o8YNY0_000013_000023.mp4,7|19,sky|snow_covered_landscape
-1L06tE9vL0_000037_000047.mp4,39|40,sport_venue|arena
-1NAV5z1tIs_39.0_41.0.mp4,19,snow_covered_landscape
-1NAV5z1tIs_55.0_57.0.mp4,148|7|17|19|16|21,ridge|sky|mountain|snow_covered_landscape|mountainous_landforms|mountain_range
-1Pe4dntZoE_000452_000462.mp4,43|44,leisure_centre|swimming_pool
-1QGTcCDaqU_000088_000098.mp4,1,backyard
-1RBCM3cpQk_74.0_76.0.mp4,39,sport_venue
-1RuTONSbgE_000074_000084.mp4,13,floor
-1Vnu1KWOfE_000001_000011.mp4,36,room
-1Voi6i6Rwc_20.0_22.0.mp4,7|6|8|0|96,sky|field|pasture|meadow|rural_area
-1Y83SnTyZ0_000003_000013.mp4,13,floor
-1YIbcKYgZ8_000000_000010.mp4,13,floor
-1YPdxK5Qs8_000221_000231.mp4,7,sky
-1jBDv2-JjY_000006_000016.mp4,13|39,floor|sport_venue
-1kBD9z_7Ho_000005_000015.mp4,7|4,sky|stage
-1kJQObmVAs_000018_000028.mp4,43,leisure_centre
-1lwDg7Dot8_40.0_42.0.mp4,9|0,grassland|meadow
-1lwDg7Dot8_69.5_71.5.mp4,6|9|11,field|grassland|landscape
-1lwDg7Dot8_83.5_85.5.mp4,6|0|2,field|meadow|garden
-1lwDg7Dot8_95.5_97.5.mp4,6|1|9|11|0|2|3,field|backyard|grassland|landscape|meadow|garden|yard
-1mjzszNHCY_000013_000023.mp4,80|148|15|41|19,terrain|ridge|piste|house|snow_covered_landscape
-1qkC-Odx5M_1.5_3.5.mp4,80|148|34|6|110|8|18|9|84|96,terrain|ridge|land_lot|field|farm|pasture|hill|grassland|ecoregion|rural_area
